act,tag,verdict,n_features,roc_auc,precision_at_100,precision_at_500,lift_at_500
control 41 features,refactor_det,no lender features,41,0.8766658286449451,0.550000011920929,0.2820000052452087,104.01520336144867
act 1 created_on,lender,leaking,54,0.8950961953909886,1.0,0.9919999837875366,365.89744017378
act 2 delivered_on,lender_fixed,leaking,54,0.8860883193343456,0.9800000190734864,0.7419999837875366,273.68538217133084
"act 3 +21d, nominal 1st",lender_asof21,over-tight,54,0.8762658118943571,0.4799999892711639,0.3100000023841858,114.34295280243974
act 4 extract date +4d/1d,lender_calib,calibrated,54,0.8810030209806186,0.4900000095367431,0.3319999873638153,122.45760836641817
