model,n_features_before,n_features_after,roc_auc_before,roc_auc_after,d_roc_auc,unpaired_intervals_overlap,interpreted
lightgbm,41,27,0.7620188930685061,0.7610634884432775,-0.0009554046252285842,True,True
logistic,41,27,0.7289751080497635,0.7324270268451335,0.0034519187953699904,True,True
mlp,41,27,0.6941137682941763,0.7015777832921614,0.007464014997985102,False,False
