target,gate,tag,d_roc_auc,lo,hi,d_precision_at_500,p500_lo,p500_hi,excludes_zero
lending,7d / 3d,lender_calib_hi,-2.6709276974123952e-05,-0.0005100463608210121,0.0004709186721067626,0.01200000000000001,-0.0040000000000000036,0.036000000000000004,False
insolvency,7d / 3d,lender_calib_hi,0.0007201812248125439,-0.00015098348837704889,0.0016984699363300434,0.0020000000000000018,-0.022000000000000006,0.024000000000000007,False
lending,4d / 1d,lender_calib,0.004337192335673423,0.003452386869853291,0.005242427416174804,0.050000000000000044,0.02895,0.08399999999999996,True
insolvency,4d / 1d,lender_calib,0.001727059677620213,0.0008140067722317124,0.0026732707214008077,0.01999999999999999,-0.008000000000000007,0.04199999999999999,True
lending,2d / 1d,lender_calib_lo,0.005632513345896761,0.004573711811520201,0.006613762994782468,0.12400000000000005,0.09400000000000003,0.1620999999999999,True
insolvency,2d / 1d,lender_calib_lo,0.0006008926182669017,-0.0003459565106316786,0.0015250765327688982,0.014000000000000012,-0.01105,0.03599999999999999,False
