tag,target,model,roc_auc,roc_auc_lo,roc_auc_hi,precision_at_500,precision_at_500_lo,precision_at_500_hi,roc_auc_halfwidth
lender_asof21_det,lending,lightgbm,0.8762658118943571,0.8715326048833641,0.8806229475728931,0.3100000023841858,0.266,0.3480499999999999,0.004545171344764454
lender_asof21_det,lending,logistic,0.8624692198090085,0.8577116859584494,0.8671490547807873,0.1879999935626983,0.15,0.224,0.004718684411168961
lender_asof21_det,lending,mlp,0.86799079357811,0.8634301341614766,0.8726032071718852,0.2300000041723251,0.188,0.272,0.004586536505204297
lender_asof21_det,insolvency,lightgbm,0.7626132446533718,0.7576595452039361,0.7667464715857691,0.1260000020265579,0.09595,0.152,0.00454346319091653
lender_asof21_det,insolvency,logistic,0.7346089618563996,0.7296832824837894,0.739302254236098,0.0680000036954879,0.046,0.092,0.0048094858761542625
lender_asof21_det,insolvency,mlp,0.739233906881718,0.7346211855519454,0.7436694839210856,0.0780000016093254,0.056,0.1,0.004524149184570059
lender_asof21_det,voluntary_exit,lightgbm,0.7928596159020477,0.7918349171755611,0.7939538148204579,0.8360000252723694,0.79995,0.866,0.0010594488224484055
lender_asof21_det,voluntary_exit,logistic,0.7705098627857975,0.7693546962359765,0.7716588309802473,0.2960000038146972,0.242,0.3360499999999999,0.0011520673721354124
lender_asof21_det,voluntary_exit,mlp,0.7784154047137031,0.7773351500674898,0.7795599108335837,0.7559999823570251,0.722,0.794,0.0011123803830469514
lender_asof21_det,growth,lightgbm,0.7619946326620627,0.7600713266462936,0.7637320867184964,0.209999993443489,0.174,0.244,0.0018303800361013645
lender_asof21_det,growth,logistic,0.7385847800619267,0.736594510299573,0.7406029185036161,0.1700000017881393,0.138,0.202,0.0020042041020215673
lender_asof21_det,growth,mlp,0.7006689416463637,0.698264508040875,0.7029568103862024,0.0820000022649765,0.062,0.108,0.0023461511726636797
lender_calib,lending,lightgbm,0.8810030209806186,0.8766941241615485,0.8852171959545327,0.3319999873638153,0.29,0.378,0.004261535896492141
lender_calib,lending,logistic,0.8668093994690536,0.8622367524101331,0.8713627109723812,0.1800000071525573,0.146,0.216,0.0045629792811240355
lender_calib,lending,mlp,0.8728645925476078,0.868439415507338,0.8773446901512487,0.2380000054836273,0.2,0.276,0.004452637321955333
lender_calib,insolvency,lightgbm,0.7632470595803762,0.7587781870944442,0.7675923124256627,0.1420000046491623,0.11,0.172,0.0044070626656092515
lender_calib,insolvency,logistic,0.7346323585131371,0.730092271430571,0.7389446652421336,0.0719999969005584,0.05,0.096,0.004426196905781332
lender_calib,insolvency,mlp,0.7410731749044962,0.7370498839583189,0.7454567299755209,0.0780000016093254,0.056,0.102,0.004203423008600993
lender_calib,voluntary_exit,lightgbm,0.7928462567535819,0.7917498423556881,0.7938982112218331,0.8640000224113464,0.83,0.89205,0.0010741844330725003
lender_calib,voluntary_exit,logistic,0.7702021811142956,0.7691336687998579,0.7713624124851215,0.2939999997615814,0.252,0.342,0.0011143718426318006
lender_calib,voluntary_exit,mlp,0.7725160126329599,0.7713914516302686,0.7735910112611811,0.5379999876022339,0.5,0.59,0.001099779815456281
lender_calib,growth,lightgbm,0.7618221224615427,0.759977517247451,0.7635297502318092,0.1879999935626983,0.154,0.224,0.001776116492179125
lender_calib,growth,logistic,0.7360402046322636,0.7339549171274559,0.7380226081017812,0.1420000046491623,0.112,0.172,0.0020338454871626777
lender_calib,growth,mlp,0.7037275107602657,0.7012661250222295,0.7058101260528843,0.1080000028014183,0.08,0.1340499999999999,0.002272000515327388
lender_calib_hi,lending,lightgbm,0.876639119367971,0.8720801764407231,0.8812656103187737,0.2939999997615814,0.252,0.334,0.004592716939025299
lender_calib_hi,lending,logistic,0.8650860446185421,0.860431746057334,0.8696383919937096,0.1879999935626983,0.152,0.222,0.0046033229681878285
lender_calib_hi,lending,mlp,0.8717308263900121,0.8672978348838931,0.8762806240351776,0.1959999948740005,0.16595,0.234,0.004491394575642238
lender_calib_hi,insolvency,lightgbm,0.7622401811275685,0.7579319893362195,0.7667286136898949,0.123999997973442,0.09595,0.1520499999999999,0.004398312176837671
lender_calib_hi,insolvency,logistic,0.7346661711765712,0.730233306471683,0.7394245465316315,0.0680000036954879,0.048,0.092,0.004595620029974212
lender_calib_hi,insolvency,mlp,0.7398121693327915,0.7349989709705409,0.7444622017178267,0.0700000002980232,0.048,0.094,0.004731615373642917
lender_calib_hi,voluntary_exit,lightgbm,0.7926659386482884,0.7915394341877129,0.7937233009821812,0.8560000061988831,0.826,0.892,0.0010919333972341794
lender_calib_hi,voluntary_exit,logistic,0.7693270131084109,0.7682557147238406,0.7704352589254067,0.335999995470047,0.292,0.392,0.0010897721007830374
lender_calib_hi,voluntary_exit,mlp,0.7769169691592328,0.7758142768562813,0.7779863182776431,0.6859999895095825,0.638,0.724,0.0010860207106808684
lender_calib_hi,growth,lightgbm,0.7615625642882087,0.759729016964068,0.7635636478504746,0.2119999974966049,0.176,0.242,0.0019173154432032824
lender_calib_hi,growth,logistic,0.7382223969498902,0.736280374952491,0.7401837565482919,0.1519999951124191,0.12,0.182,0.0019516907979004738
lender_calib_hi,growth,mlp,0.6959406792609455,0.6937792349980203,0.6981823679670282,0.0900000035762786,0.066,0.116,0.002201566484503925
lender_calib_lo,lending,lightgbm,0.8822983419908419,0.8780855081995192,0.8864944769051721,0.4059999883174896,0.35995,0.454,0.004204484352826443
lender_calib_lo,lending,logistic,0.8684618418418151,0.8638929506262888,0.8729257226606361,0.1800000071525573,0.148,0.2180499999999999,0.004516386017173635
lender_calib_lo,lending,mlp,0.8749097004250065,0.8704011691051928,0.8794153129368939,0.3260000050067901,0.278,0.364,0.004507071915850536
lender_calib_lo,insolvency,lightgbm,0.7621208925210229,0.7578418073939233,0.7666657724864271,0.1360000073909759,0.104,0.164,0.0044119825462519136
lender_calib_lo,insolvency,logistic,0.734697992733313,0.7301229318704919,0.7393959489789628,0.0719999969005584,0.05,0.096,0.004636508554235419
lender_calib_lo,insolvency,mlp,0.7418378882927147,0.7374377094276157,0.7466372290370167,0.0920000001788139,0.068,0.118,0.0045997598047005095
lender_calib_lo,voluntary_exit,lightgbm,0.792760895612727,0.7917237479244632,0.7938059153757151,0.8339999914169312,0.8,0.866,0.0010410837256259464
lender_calib_lo,voluntary_exit,logistic,0.7692049379638046,0.7681972829957494,0.7702935783629725,0.4280000030994415,0.37395,0.478,0.0010481476836115555
lender_calib_lo,voluntary_exit,mlp,0.7782442463698268,0.7773050915136129,0.7793310290375869,0.6579999923706055,0.62,0.70805,0.0010129687619869765
lender_calib_lo,growth,lightgbm,0.761663785829509,0.7598117865003826,0.7635448525046132,0.2000000029802322,0.164,0.236,0.0018665330021153115
lender_calib_lo,growth,logistic,0.7386851973160536,0.7366805957049407,0.7407427286346389,0.1580000072717666,0.124,0.1860499999999999,0.002031066464849074
lender_calib_lo,growth,mlp,0.7015611913159465,0.6991678751437986,0.7039026069209402,0.1340000033378601,0.104,0.168,0.0023673658885707827
refactor_det,lending,lightgbm,0.8766658286449451,0.8722092430748462,0.8811237579591275,0.2820000052452087,0.24,0.324,0.00445725744214065
refactor_det,lending,logistic,0.8615083643920712,0.8569274363068159,0.8662094849649267,0.1500000059604644,0.12,0.182,0.004641024329055388
refactor_det,lending,mlp,0.8672150617537466,0.862742631750412,0.8720420890517633,0.2660000026226043,0.22595,0.308,0.004649728650675644
refactor_det,insolvency,lightgbm,0.761519999902756,0.7571225454119676,0.7659191336799344,0.1220000013709068,0.09595,0.152,0.004398294133983405
refactor_det,insolvency,logistic,0.7323762884132989,0.7280189019499298,0.7370492872003279,0.0579999983310699,0.036,0.078,0.00451519262519906
refactor_det,insolvency,mlp,0.7437038657342853,0.7390351657713762,0.7480455868926241,0.0920000001788139,0.06595,0.114,0.004505210560623973
refactor_det,voluntary_exit,lightgbm,0.7928921906959574,0.7919045570859131,0.7940249376744606,0.8460000157356262,0.818,0.882,0.001060190294273733
refactor_det,voluntary_exit,logistic,0.7703665912194813,0.7691580156156719,0.7714646299827227,0.2960000038146972,0.25,0.342,0.0011533071835254094
refactor_det,voluntary_exit,mlp,0.7811426354986286,0.7799933550380644,0.7822895238078913,0.6800000071525574,0.63995,0.72805,0.0011480843849134281
refactor_det,growth,lightgbm,0.7620188930685061,0.7600391567599951,0.763892285852485,0.202000007033348,0.164,0.234,0.0019265645462449577
refactor_det,growth,logistic,0.7289751080497635,0.7268541248333449,0.7311955098055083,0.0979999974370002,0.07,0.1260499999999999,0.0021706924860817045
refactor_det,growth,mlp,0.6941137682941763,0.6918096945242368,0.6962299355423602,0.1280000060796737,0.096,0.156,0.0022101205090617193
refactor_growthfix,lending,lightgbm,0.8766658286449451,0.8723406291148432,0.8810176664516741,0.2820000052452087,0.24,0.324,0.0043385186684154475
refactor_growthfix,lending,logistic,0.8615083643920712,0.856905846784389,0.8663619001407044,0.1500000059604644,0.12,0.1820499999999999,0.004728026678157693
refactor_growthfix,lending,mlp,0.8672150614910281,0.8626550993067074,0.8717773609413966,0.2660000026226043,0.22595,0.308,0.004561130817344605
refactor_growthfix,insolvency,lightgbm,0.761519999902756,0.7572251985797908,0.7663574616659855,0.1220000013709068,0.09595,0.152,0.004566131543097374
refactor_growthfix,insolvency,logistic,0.7323762884527214,0.7278722416313789,0.7366295691191534,0.0579999983310699,0.036,0.078,0.00437866374388729
refactor_growthfix,insolvency,mlp,0.7437038656160182,0.7391850480258191,0.747777396436748,0.0920000001788139,0.06595,0.114,0.004296174205464465
refactor_growthfix,voluntary_exit,lightgbm,0.7928921906959574,0.7918837718851189,0.7939525212101985,0.8479999899864197,0.82,0.882,0.0010343746625398054
refactor_growthfix,voluntary_exit,logistic,0.7703665911042183,0.7691380935322298,0.771455196520285,0.2960000038146972,0.25,0.344,0.0011585514940276043
refactor_growthfix,voluntary_exit,mlp,0.7811426350285013,0.7800549176111113,0.7822597075401753,0.6819999814033508,0.638,0.72405,0.0011023949645319608
refactor_growthfix,growth,lightgbm,0.7610634884432775,0.7593172132235604,0.7630028294829723,0.1940000057220459,0.156,0.228,0.0018428081297059418
refactor_growthfix,growth,logistic,0.7324270268451335,0.7302204445188816,0.7345108207375739,0.1019999980926513,0.078,0.13,0.0021451881093461633
refactor_growthfix,growth,mlp,0.7015777832921614,0.6994101965857745,0.703736345117893,0.1059999987483024,0.082,0.136,0.0021630742660592173
