rank,CompanyNumber,CompanyName,score,reason_1,contribution_1,value_1,reason_2,contribution_2,value_2,reason_3,contribution_3,value_3
31,11691487,A.S.K. PARTNERS AGENT LIMITED,0.4277911374656856,Mortgages.NumMortCharges,3.2590997092316387,67.0,new_charge_events_12m,1.0325196356668465,8.0,Mortgages.NumMortOutstanding,0.535187899538527,61.0
32,SC676128,MITHOFF PROPERTY INVESTMENTS LTD,0.4273200096821083,Mortgages.NumMortCharges,3.1267351361182323,16.0,new_charge_events_12m,1.0232683403417577,3.0,Mortgages.NumMortOutstanding,0.6171257335086373,16.0
33,05914384,SUNSEEKER INTERNATIONAL (HOLDINGS) LIMITED,0.4251425504804157,Mortgages.NumMortCharges,3.110323092596467,20.0,new_charge_events_12m,1.0806974214142184,4.0,segment,0.7270216549677248,Large
34,09088709,ANSTEE COIL TECHNOLOGY LIMITED,0.42440345695663556,Mortgages.NumMortCharges,2.9802075060610074,7.0,new_charge_events_12m,0.9970438049830702,4.0,d_charges_12m,0.26707328600250874,5.0
35,09656168,CS & CLM LTD,0.4239420299901921,Mortgages.NumMortCharges,2.986504881339832,6.0,new_charge_events_12m,1.0406729393459233,4.0,Mortgages.NumMortOutstanding,0.5417165644289299,6.0
36,16500748,FENYX F2 LIMITED,0.4227537773094128,Mortgages.NumMortCharges,3.4908842562848523,19.0,new_charge_events_12m,1.002593236319185,6.0,Mortgages.NumMortOutstanding,0.6780176661574502,19.0
37,13866849,ILEVELS INSTANT LIMITED,0.42025095597664996,Mortgages.NumMortCharges,3.2751772829853927,7.0,new_charge_events_12m,1.0680715165516455,4.0,Mortgages.NumMortOutstanding,0.44151993498399744,6.0
38,11966921,PLAYGROUND TELEVISION UK 2 LIMITED,0.4196334961357589,Mortgages.NumMortCharges,3.228189747687337,8.0,new_charge_events_12m,1.1048691764100018,3.0,Mortgages.NumMortOutstanding,0.5240776435255141,7.0
39,02147149,HEL LIMITED,0.4172560534997965,Mortgages.NumMortCharges,3.077679863878185,23.0,new_charge_events_12m,1.0203348244475503,7.0,segment,0.7861595499038929,Large
40,13507341,OB TELECOM LIMITED,0.41174896806599565,Mortgages.NumMortCharges,2.698963057619027,7.0,new_charge_events_12m,1.0278988177278001,4.0,segment,0.9156784026355473,Subsidiary
41,10568990,HARRADINE & CO LIMITED,0.4091694771136587,Mortgages.NumMortCharges,3.2706527198512956,6.0,new_charge_events_12m,1.0590694924879078,3.0,months_since_last_new_charge,0.5474848808284402,0.0
42,13963121,WESTWOOD CAPITAL FINANCE LIMITED,0.4072618491705129,Mortgages.NumMortCharges,3.3802740065344192,18.0,new_charge_events_12m,1.03726339036238,11.0,Mortgages.NumMortOutstanding,0.46259909016524486,17.0
43,08563469,IMAGINATIVE PROPERTY GROUP LIMITED,0.40681658128451764,Mortgages.NumMortCharges,3.4315110506032545,19.0,new_charge_events_12m,1.0827847431060778,3.0,Mortgages.NumMortOutstanding,0.578349355678876,19.0
44,13661961,HEALTHCARE SERVICES CONSULTANCY LTD,0.4060324896891581,Mortgages.NumMortCharges,3.1570802961005833,6.0,new_charge_events_12m,1.048831554954018,3.0,Mortgages.NumMortOutstanding,0.49500956082441766,6.0
45,09671288,RATZFERT LTD,0.40510823896878956,Mortgages.NumMortCharges,2.854251687136008,7.0,new_charge_events_12m,1.0103754230717175,4.0,Mortgages.NumMortOutstanding,0.5760557999587254,7.0
46,10007469,THOUGHTRIVER LIMITED,0.4036500074213415,Mortgages.NumMortCharges,3.4279633059521974,12.0,new_charge_events_12m,1.086285364776057,8.0,months_since_last_new_charge,0.38518734870146093,0.0
47,09384597,AUTOMATA TECHNOLOGIES LIMITED,0.4028815787838686,Mortgages.NumMortCharges,3.035306765742571,13.0,new_charge_events_12m,1.106566206125327,3.0,segment,0.783101716275146,Large
48,NI648509,DRINKSOLOGY LIMITED,0.40228915207455285,Mortgages.NumMortCharges,2.861551781966445,12.0,new_charge_events_12m,1.0925497521092749,3.0,segment,0.7685185065009886,Medium
49,10138909,EDINBURGH ST JAMES (GP) LIMITED,0.4020173121343364,Mortgages.NumMortCharges,2.8002862991834774,27.0,new_charge_events_12m,1.0346954819247431,5.0,segment,0.7904748288893161,Large
50,02196600,L.C.P. MANAGEMENT LIMITED,0.4020117830773694,Mortgages.NumMortCharges,2.7646809551295903,45.0,new_charge_events_12m,0.9938944676776331,4.0,segment,0.8443850560267827,Large
51,SC433541,GREEN MARINE (UK) LIMITED,0.4017973608364297,Mortgages.NumMortCharges,3.371526685375478,25.0,new_charge_events_12m,1.0770704343548196,3.0,Mortgages.NumMortOutstanding,0.43512517504930454,15.0
52,SC156515,2 AGRICULTURE LIMITED,0.4010961205269384,Mortgages.NumMortCharges,2.730749516215382,62.0,new_charge_events_12m,1.0166786215639516,3.0,segment,0.8192181884071492,Large
53,10884713,ELITE PROPERTIES LIVERPOOL LIMITED,0.4007268903783838,Mortgages.NumMortCharges,3.1962593968798814,40.0,new_charge_events_12m,0.964438068030053,8.0,Mortgages.NumMortOutstanding,0.5434056506404759,25.0
54,08587686,AFINITI EUROPE TECHNOLOGIES LIMITED,0.39796344673496054,Mortgages.NumMortCharges,2.9056941856732217,12.0,new_charge_events_12m,1.0411031205183872,7.0,segment,0.7026607932572418,Large
55,13827341,BRIDGEPARK CAPITAL LTD,0.39683457191754656,Mortgages.NumMortCharges,3.2828559172983587,44.0,new_charge_events_12m,1.1006280874055543,4.0,Mortgages.NumMortOutstanding,0.5845826568752411,40.0
56,08246871,HARTSHORNE CROSSROADS GROUP CONTRACTS LIMITED,0.3965698926938066,Mortgages.NumMortCharges,2.406675549388769,33.0,new_charge_events_12m,1.0729443113703594,6.0,segment,0.7470882834643265,Large
57,09908188,NICOLAS JAMES LIMITED,0.3950748648520641,Mortgages.NumMortCharges,2.9808170358686237,16.0,new_charge_events_12m,1.0730971924409534,5.0,segment,0.7750480246835701,Large
58,12588738,AMBER ORANGE LIMITED,0.3943726520478575,Mortgages.NumMortCharges,3.4452000745916167,7.0,new_charge_events_12m,1.1003330968309142,5.0,Mortgages.NumMortOutstanding,0.6091641705139195,7.0
59,01692513,BANIJAY UK PRODUCTIONS LIMITED,0.3923846713997695,Mortgages.NumMortCharges,3.0276799600121076,26.0,new_charge_events_12m,1.034586368847498,3.0,segment,0.8296061816355882,Subsidiary
60,11468874,PGMBM LTD,0.3914706292202903,Mortgages.NumMortCharges,3.138133816723863,18.0,new_charge_events_12m,1.0905967581315172,5.0,segment,0.71345529127449,Large
61,04992068,NORTH EAST PROPERTY PARTNERSHIP LIMITED,0.3901544701630842,Mortgages.NumMortCharges,3.09046811678443,23.0,new_charge_events_12m,0.9404193028318523,3.0,segment,0.8680624363368303,Subsidiary
62,09817636,GALILEO GLOBAL TECHNOLOGIES PLC,0.39014430209341355,Mortgages.NumMortCharges,2.6781155061485014,27.0,new_charge_events_12m,0.9721126571541178,4.0,segment,0.6478797357230592,Large
63,15016818,VMED O2 UK HOLDCO 5 LIMITED,0.38853123901231695,Mortgages.NumMortCharges,2.4119756422214347,5.0,new_charge_events_12m,1.0166498177225154,4.0,segment,0.7306325397052196,Large
64,12809596,VMED O2 UK HOLDCO 4 LIMITED,0.3863447735581843,Mortgages.NumMortCharges,2.3765501741775057,5.0,new_charge_events_12m,1.0078642083745584,4.0,segment,0.7802495293959995,Large
65,14351083,CDC PROPERTY DEVELOPMENTS LTD,0.3859255241676977,Mortgages.NumMortCharges,2.869739462821195,6.0,new_charge_events_12m,1.0528953027671346,3.0,Mortgages.NumMortOutstanding,0.5239079542302177,6.0
66,SC592655,BANGLEY QUARRY BIOGAS LTD,0.3841026743066001,Mortgages.NumMortCharges,3.318057304492038,19.0,new_charge_events_12m,0.9986519406179831,3.0,Mortgages.NumMortOutstanding,0.5362933996413225,15.0
67,08088342,SMARTROOF LIMITED,0.3836642811961211,Mortgages.NumMortCharges,2.6273114764286634,6.0,new_charge_events_12m,1.0531251675904558,3.0,segment,0.8282605012047225,Medium
68,06581977,ENHANCED MUSIC LIMITED,0.3832249511595837,Mortgages.NumMortCharges,2.883952397508704,6.0,new_charge_events_12m,1.0912246409722681,3.0,Mortgages.NumMortOutstanding,0.455461629147579,6.0
69,12783424,WBR TRUSTEES LIMITED,0.38302081305600133,Mortgages.NumMortCharges,3.741604438768227,14.0,new_charge_events_12m,1.074756384419334,6.0,months_since_last_new_charge,0.4905496911418501,0.0
70,08905651,DICE FM HOLDINGS LTD,0.38195757764243216,Mortgages.NumMortCharges,2.9800419478270648,17.0,new_charge_events_12m,1.0360513744926698,3.0,segment,0.7474052947891455,Large
71,13257177,LA FABRICATIONS (SOUTH EAST) LIMITED,0.38069655349186593,Mortgages.NumMortCharges,3.0359626898595904,6.0,new_charge_events_12m,1.0723984739803185,3.0,Mortgages.NumMortOutstanding,0.4924591495551478,6.0
72,10086511,ORIGIN COMMUNICATIONS LIMITED,0.3791883053582316,Mortgages.NumMortCharges,2.8745611849879444,9.0,new_charge_events_12m,1.0831384496099585,4.0,segment,0.7862873922924286,Subsidiary
73,12875094,SHAW GIBBS (AUDIT) LIMITED,0.3790403440195921,Mortgages.NumMortCharges,2.778379150903385,10.0,new_charge_events_12m,1.051698539846066,3.0,segment,0.9190706143800332,Subsidiary
74,01688505,SUNSEEKER INTERNATIONAL DISTRIBUTION LTD,0.37842156176136227,Mortgages.NumMortCharges,2.8115470343256064,10.0,new_charge_events_12m,1.0501039605570786,4.0,segment,0.7654092749758236,Subsidiary
75,03382084,DUNBIA (UK),0.37798739272337956,Mortgages.NumMortCharges,2.6593492426899705,57.0,new_charge_events_12m,1.0229250919978596,3.0,segment,0.8200150495081753,Large
76,10630540,MARTIN AND COMPANY AUDIT LIMITED,0.37691827885575485,Mortgages.NumMortCharges,3.1359217753603192,5.0,new_charge_events_12m,1.090944265387338,3.0,months_since_last_new_charge,0.5127446953101684,0.0
77,SC010528,JAMES DONALDSON GROUP LTD,0.37656655723051274,Mortgages.NumMortCharges,2.5614881777772966,37.0,new_charge_events_12m,0.9551286447037134,3.0,segment,0.7934957160441196,Large
78,09229677,BP3 GLOBAL LIMITED,0.37619438280641115,Mortgages.NumMortCharges,2.587347293947611,6.0,new_charge_events_12m,1.0069247852520615,4.0,segment,0.757138334661753,Large
79,SC700538,ARF CONSULTANTS LTD,0.3761737196459586,Mortgages.NumMortCharges,2.9370955393012323,11.0,new_charge_events_12m,1.054337835538129,4.0,sic_changed_12m,0.5198997422132711,1.0
80,02457114,COURTNEY INVESTMENTS LIMITED,0.37494527680897594,Mortgages.NumMortCharges,3.2012197221779912,56.0,new_charge_events_12m,1.0365924307730876,3.0,Mortgages.NumMortSatisfied,0.5500881093619809,41.0
81,08853263,SCHULTZ MEDICAL (UK) LTD,0.37354206418080077,Mortgages.NumMortCharges,2.4328917419215705,9.0,new_charge_events_12m,1.0307516168422644,4.0,months_since_last_award,0.6673851763469721,0.0
82,SC597190,6J LTD,0.37273292193613305,Mortgages.NumMortCharges,3.0980640959488657,5.0,new_charge_events_12m,1.0966196031628799,4.0,months_since_last_new_charge,0.631068372091365,0.0
83,15222781,HXCUK SPV1 LTD,0.37249304579023684,Mortgages.NumMortCharges,3.0460251628831188,7.0,new_charge_events_12m,1.026750082223649,4.0,Mortgages.NumMortOutstanding,0.5192670547631208,7.0
84,05840856,TALKTALK BRANDS LIMITED,0.37181878989758915,Mortgages.NumMortCharges,2.7621946533367367,7.0,new_charge_events_12m,1.0474151540848842,4.0,segment,0.8985461987141186,Subsidiary
85,14703270,PILLAR CONTRACTS LIMITED,0.3692996659233187,Mortgages.NumMortCharges,2.552706164092425,6.0,new_charge_events_12m,0.9988911758878367,3.0,sic_changed_12m,0.4886728330468489,1.0
86,11641444,SHAFTESBURY UK DISTRIBUTION LTD,0.36892013224309245,Mortgages.NumMortCharges,3.2374302000734247,16.0,new_charge_events_12m,1.0319681306483581,3.0,Mortgages.NumMortOutstanding,0.5857265667248143,16.0
87,02205891,WINDFALL FILMS LIMITED,0.36839110524649166,Mortgages.NumMortCharges,3.0220353168558973,17.0,new_charge_events_12m,0.9424076989517982,5.0,segment,0.8040940945197768,Large
88,03707664,VIRGIN MOBILE TELECOMS LIMITED,0.3681867461376279,Mortgages.NumMortCharges,2.717470792434686,34.0,new_charge_events_12m,1.0535339658030671,4.0,segment,0.8700681269217224,Large
89,00159177,HINDUJA AUTOMOTIVE LIMITED,0.36733731958853655,Mortgages.NumMortCharges,2.822982762164845,51.0,new_charge_events_12m,1.0371502014403495,3.0,segment,0.8623282386178982,Large
90,09659104,CRUMPSALL ESTATES LIMITED,0.3672157112926452,Mortgages.NumMortCharges,3.6212421770014362,12.0,new_charge_events_12m,1.1447222702427935,3.0,months_since_last_new_charge,0.5119910175131255,6.0
91,08281645,TETRA REAL ESTATE LIMITED,0.3669474420404784,Mortgages.NumMortCharges,3.1863947544357556,7.0,new_charge_events_12m,1.1041723307162006,4.0,Mortgages.NumMortOutstanding,0.5968500815222425,7.0
92,06014654,LANGDOWNS DFK LIMITED,0.3627483571471784,Mortgages.NumMortCharges,3.0200784784327688,9.0,new_charge_events_12m,1.0804506861316463,3.0,months_since_last_accounts_filing,0.47783294843568147,28.0
93,13604507,APG TECHNOLOGIES LIMITED,0.3596970441213861,Mortgages.NumMortCharges,3.0829540296552627,5.0,new_charge_events_12m,1.0471877213169205,3.0,Mortgages.NumMortOutstanding,0.351905195472265,4.0
94,13604484,APG DIGITAL LIMITED,0.3596970441213861,Mortgages.NumMortCharges,3.0829540296552627,5.0,new_charge_events_12m,1.0471877213169205,3.0,Mortgages.NumMortOutstanding,0.351905195472265,4.0
95,16437226,HOPE STUDIOS UK LTD,0.35951831654839744,Mortgages.NumMortCharges,3.142694205222469,7.0,new_charge_events_12m,1.055074967478023,3.0,Mortgages.NumMortOutstanding,0.6013889882605371,7.0
96,11844897,WEDO BUSINESS FINANCE LTD,0.3594305668577707,Mortgages.NumMortCharges,2.7509825064496267,7.0,new_charge_events_12m,1.098072985087342,3.0,segment,0.8122315835714827,Large
97,00575914,XEROX LIMITED,0.35887715421301086,Mortgages.NumMortCharges,2.5287127738930315,28.0,new_charge_events_12m,1.0108574003004591,3.0,segment,0.691956724797969,Large
98,05590174,RED PLANET PICTURES LIMITED,0.3581826067056903,Mortgages.NumMortCharges,2.5972640862244463,12.0,new_charge_events_12m,0.9597836228465486,3.0,segment,0.8538460746393108,Large
99,08446340,OSTEREO LIMITED,0.3580593573982998,Mortgages.NumMortCharges,3.132773630538403,7.0,new_charge_events_12m,1.0846694031507225,3.0,Mortgages.NumMortOutstanding,0.44576346408529166,6.0
100,12617660,PUBX AI LTD,0.35563434443214603,Mortgages.NumMortCharges,3.0110531778503886,6.0,new_charge_events_12m,1.01093709496868,3.0,company_age_years,0.2869664038012049,6.1
