rank,CompanyNumber,CompanyName,score,reason_1,contribution_1,value_1,reason_2,contribution_2,value_2,reason_3,contribution_3,value_3
31,14477466,APG EXETER LIMITED,0.35631680487676426,Mortgages.NumMortCharges,1.314414703192285,4.0,months_since_last_accounts_filing,0.7012474310025857,22.0,tier_rank,0.41987679138736006,3.0
32,14339923,MERCO FS LIMITED,0.35603643207040264,months_since_last_award,0.7263128691076907,33.0,tier_rank,0.7141869936289741,1.0,Mortgages.NumMortCharges,0.590537060448313,2.0
33,11739663,ADHD360 LIMITED,0.35415335465264175,months_since_last_award,1.0814782240935246,12.0,Mortgages.NumMortCharges,0.7870462854095492,2.0,tier_rank,0.3826588772523444,3.0
34,14064420,Q CHISHTI PROPERTIES LIMITED,0.352887250740077,Mortgages.NumMortCharges,0.8450326325402475,6.0,tier_rank,0.7010566584045409,1.0,segment,0.43849312023100223,Micro
35,08033357,SOLUTIONPATH LIMITED,0.3514567802891367,months_since_last_award,1.0161744413429579,12.0,tier_rank,0.6583004782913737,nan,Mortgages.NumMortCharges,0.5986511504473229,4.0
36,14519863,RENAISSANCE PHARMA LTD,0.3437549873669174,months_since_last_accounts_filing,0.9344993338737447,31.0,tier_rank,0.6646773491591896,1.0,Mortgages.NumMortCharges,0.5466239096968418,1.0
37,02091108,VELOCITI SOLUTIONS LIMITED,0.3384440684145962,Mortgages.NumMortCharges,1.1417144099777397,10.0,months_since_last_award,0.9225840790053799,4.0,tier_rank,0.6408643985996583,3.0
38,08828281,AMTECH BUSINESS SOLUTIONS LIMITED,0.33843438850516516,months_since_last_award,1.3650856794674782,47.0,tier_rank,0.7565617514814527,1.0,segment,0.4345606569324815,Micro
39,02174882,HARDALL INTERNATIONAL LIMITED,0.33799552636812,Mortgages.NumMortCharges,0.898870335341592,3.0,months_since_last_award,0.8644205529216757,2.0,months_since_last_accounts_filing,0.6783561528296415,25.0
40,06893253,BCN GROUP LTD.,0.33415098631124796,Mortgages.NumMortCharges,1.2223443989545324,8.0,months_since_last_award,1.075081514716202,2.0,tier_rank,0.5905144015646333,3.0
41,12068803,AIRBASE UK INTERIORS LTD,0.32951929058083246,Mortgages.NumMortCharges,0.97572755597674,6.0,tier_rank,0.7337248344778358,nan,company_age_years,0.4653785706427101,7.0
42,05314495,CCL-FORENSICS LIMITED,0.32921806526498426,Mortgages.NumMortCharges,1.3782463911108085,9.0,months_since_last_award,1.0087990944985363,4.0,total_value_won_12m,0.45142521519169826,8.000032e+09
43,00941798,DALE POWER SOLUTIONS LIMITED,0.32921280141047615,Mortgages.NumMortCharges,1.3384109697845814,15.0,months_since_last_award,0.8179150757094004,11.0,tier_rank,0.5399686631134206,3.0
44,07749953,FLOTECH PERFORMANCE SYSTEMS LTD,0.32875261447849896,Mortgages.NumMortCharges,0.8045416422374911,4.0,months_since_last_award,0.7889803939808845,31.0,tier_rank,0.6287390149529686,nan
45,02913195,SIGMA ASL LIMITED,0.327900982942224,Mortgages.NumMortCharges,1.5013328573528815,9.0,company_age_years,0.5365432047713216,32.3,tier_rank,0.5142655573624556,3.0
46,07814100,CHORUS INTELLIGENCE LIMITED,0.3269565538836746,months_since_last_award,1.0613448736399118,4.0,Mortgages.NumMortCharges,0.9582502483834061,3.0,total_value_won_12m,0.8640457692171178,2.000029e+09
47,01413300,CAMSTAR HERBS LIMITED,0.32676856396194215,Mortgages.NumMortCharges,1.1521158459112986,23.0,sector,0.4165845932892194,Manufacturing,tier_rank,0.40846332588448636,3.0
48,11769911,MORRIS LINE ENGINEERING LIMITED,0.3236900189431865,Mortgages.NumMortCharges,1.1950073896824147,4.0,months_since_last_award,1.0354218947767255,27.0,tier_rank,0.4681686005263002,3.0
49,11805908,DIGITAL QUOTIENT SOLUTIONS LTD,0.32222901690622296,months_since_last_award,1.1026223622357105,39.0,tier_rank,0.6762592848750062,1.0,months_in_current_status,0.39080420186372505,33.0
50,04797346,STEELSTRIP SERVICES LIMITED,0.3212094351482678,Mortgages.NumMortCharges,1.5846976798344439,14.0,tier_rank,0.5494867787164056,3.0,months_since_last_accounts_filing,0.3134251238126418,16.0
51,12576961,PRO HEALTH SOLUTIONS LTD,0.320973408558588,months_since_last_award,0.9148400125967682,5.0,tier_rank,0.7139829784659706,1.0,Mortgages.NumMortCharges,0.5342224916544404,3.0
52,09511198,AUTUS UK LTD,0.3200932244137173,Mortgages.NumMortCharges,1.2183172092853258,8.0,days_to_next_accounts_due,0.7221015464079181,182.0,company_age_years,0.4239332727608629,11.3
53,04171318,TGC INTERNATIONAL LIMITED,0.3188583619100538,months_since_last_award,0.8001196734623702,39.0,Mortgages.NumMortCharges,0.798803214125941,6.0,tier_rank,0.4625813553292903,3.0
54,06702659,FIRESEC COMPLIANCE LIMITED,0.31769074978887524,Mortgages.NumMortCharges,1.1134490552770537,4.0,months_since_last_award,0.9220435505706084,7.0,total_value_won_12m,0.8307973748911694,2e+08
55,06901841,MA COST CONSULTING LIMITED,0.3164134097732371,months_since_last_award,1.0546261753613302,8.0,Mortgages.NumMortCharges,0.7871371802986841,3.0,total_value_won_12m,0.6883625021695298,1.3636364e+07
56,14703270,PILLAR CONTRACTS LIMITED,0.3133795144884698,Mortgages.NumMortCharges,0.8157659038529353,6.0,tier_rank,0.778529352968808,1.0,segment,0.4794914780708056,Micro
57,08174072,CHAMBURY CONSULTING LTD,0.31320497427132593,months_since_last_award,0.9963331112004027,43.0,tier_rank,0.649090658949594,nan,Mortgages.NumMortCharges,0.3567146839168807,2.0
58,01459141,LEEC LIMITED,0.31014397690106477,Mortgages.NumMortCharges,1.0928568544313484,14.0,months_since_last_award,0.8960064469729434,2.0,tier_rank,0.49081731546615515,3.0
59,07667393,THE NETWORKING PEOPLE (TNP) LIMITED,0.30991213728201916,Mortgages.NumMortCharges,0.9845068281405519,5.0,months_since_last_award,0.8858068208371106,1.0,total_value_won_12m,0.6128235092166783,496583.12
60,12944003,WBR GROUP LIMITED,0.30990497456681876,Mortgages.NumMortCharges,1.250597469098918,3.0,company_age_years,0.43308868369295683,5.7,tier_rank,0.42466050941884104,3.0
61,15993216,SAGE MEDIEQUIP LIMITED,0.30844817768311794,tier_rank,0.8178703846352637,1.0,company_age_years,0.6110122618803435,1.7,Mortgages.NumMortCharges,0.5425303891045552,1.0
62,13947887,3ML PROPERTIES LIMITED,0.30792460433914615,Mortgages.NumMortCharges,1.059413953136378,9.0,tier_rank,0.7405321027514817,1.0,segment,0.4669502873767247,Micro
63,05672642,VIRTUE TECHNOLOGIES LIMITED,0.3076947548013175,months_since_last_award,1.1018524062499615,3.0,Mortgages.NumMortCharges,0.8547614169612251,3.0,tier_rank,0.49562956795726815,3.0
64,03295323,AGENDA RESOURCE MANAGEMENT LIMITED,0.3072999504919584,Mortgages.NumMortCharges,1.2735280810101177,12.0,months_since_last_award,0.8115780890629931,7.0,tier_rank,0.6359286530658753,3.0
65,14373641,DICE FM UK LTD,0.3072428793896398,Mortgages.NumMortCharges,1.2039891424078744,8.0,tier_rank,0.7357120497217352,nan,company_age_years,0.4021855878958113,3.8
66,12795105,AMBER LABS LIMITED,0.30700252460421434,Mortgages.NumMortCharges,1.2672911874215849,3.0,months_since_last_award,1.0506951544694356,24.0,months_since_last_accounts_filing,0.8651585756636473,23.0
67,14941588,SHERBET REWARDS & MOTIVATION TECHNOLOGIES LIMITED,0.30486325598681346,Mortgages.NumMortCharges,1.087497517788609,5.0,tier_rank,0.7256125853759247,nan,company_age_years,0.5045974219245446,3.0
68,15084559,VICTORY CONVERSIONS LIMITED,0.3044841433520882,Mortgages.NumMortCharges,1.323368764863568,4.0,months_since_last_award,1.0005988241667048,10.0,total_value_won_12m,0.5481873399787701,5.7142855e+06
69,11099346,TRL SOFTWARE LIMITED,0.30420139153105014,months_since_last_award,1.1110665647403006,10.0,Mortgages.NumMortCharges,0.6899555551682841,4.0,tier_rank,0.6259783094544653,nan
70,07510381,KERV DIGITAL LIMITED,0.3031237234604187,months_since_last_award,0.9759393625133089,2.0,total_value_won_12m,0.7939145452678956,1.8443486e+07,Mortgages.NumMortCharges,0.6331743058761351,6.0
71,02465785,THE BRECKS COMPANY LIMITED,0.30297258656097215,Mortgages.NumMortCharges,1.0701700098197222,14.0,tier_rank,0.5652800895402181,3.0,days_to_next_accounts_due,0.5117190762911605,182.0
72,01421991,PRAYBOURNE LIMITED,0.30242816412752727,Mortgages.NumMortCharges,1.3564701143210052,11.0,tier_rank,0.5387102963720974,3.0,debt_ratio,0.355020906857967,0.55
73,11843588,COURAGE GLOBAL SCHOOL LIMITED,0.30161689285062954,months_since_last_award,1.046867114917813,7.0,tier_rank,0.7866876484258609,1.0,segment,0.4553981541213599,Micro
74,13303937,CT 13303937 LIMITED,0.300651790697187,months_since_last_accounts_filing,1.5895513362879683,28.0,Mortgages.NumMortCharges,0.6680708696626793,1.0,accounts_stale_streak_months,0.4203375445279773,4.0
75,07132859,INFORM BILLING SOLUTIONS LIMITED,0.2992171223914857,months_since_last_accounts_filing,1.5703594635884233,28.0,Mortgages.NumMortCharges,0.7799423841913724,2.0,accounts_stale_streak_months,0.4013876575500701,4.0
76,15371580,EKORN TECH LTD,0.29818800706999044,tier_rank,0.7921906075869114,1.0,Mortgages.NumMortCharges,0.6101539166234248,1.0,company_age_years,0.47143186282542654,2.5
77,14505959,ABERGAVENNY FOOD AND WINES LTD,0.29812469520179274,tier_rank,0.8396087231451008,1.0,Mortgages.NumMortCharges,0.5527306812271991,1.0,segment,0.4809011931791593,Micro
78,14407269,WINNERS FIRST TRADING LIMITED,0.2940094986954053,months_since_last_award,1.3942297499885978,0.0,tier_rank,0.7281429633018668,1.0,total_value_won_12m,0.6408403601474733,1.94598e+07
79,10388935,INCIPER LIMITED,0.2936766918886452,months_since_last_award,0.8943472836831985,20.0,tier_rank,0.711467339608191,nan,Mortgages.NumMortCharges,0.3111809640243067,1.0
80,15870805,FDOE PRODUCTIONS LTD,0.2921890726770927,Mortgages.NumMortCharges,0.7938137533314437,3.0,tier_rank,0.7705071096231421,nan,company_age_years,0.44979189789852836,1.9
81,12364000,HICOMPLY LTD,0.2909280927828479,Mortgages.NumMortCharges,1.1328939007547283,3.0,months_since_last_award,1.0852006940708654,10.0,company_age_years,0.450689158278659,6.5
82,07568924,IN THE ZONE LEYLAND LTD,0.29042672196122765,months_since_last_accounts_filing,0.9010526095467475,28.0,tier_rank,0.6676558790528635,1.0,Mortgages.NumMortCharges,0.6165845730928196,4.0
83,03113620,MAYCAST-NOKES PRECISION ENGINEERING LTD,0.2904257630729886,Mortgages.NumMortCharges,1.6948366016411534,13.0,tier_rank,0.5852469274204195,3.0,debt_ratio,0.3055333396100901,0.62
84,07753583,TWO CIRCLES LIMITED,0.29038711768859843,months_since_last_award,0.8596359983436614,39.0,Mortgages.NumMortCharges,0.7992122405511394,8.0,tier_rank,0.6806965924570828,nan
85,12686607,DE NOVO CONSULTING SERVICES LIMITED,0.2898295184394195,months_since_last_award,1.2467546138765415,9.0,Mortgages.NumMortCharges,1.1821247318811345,3.0,total_value_won_12m,0.6685932411442075,810771.0
86,05556499,PORTARAMP (UK) LIMITED,0.2897397606136545,months_since_last_award,0.9748650361816729,28.0,Mortgages.NumMortCharges,0.749771678164963,7.0,tier_rank,0.7356172400533213,nan
87,15242648,OMNIPRESENT LIFESTYLE LTD,0.28967285394701286,Mortgages.NumMortCharges,0.7964145944124914,5.0,tier_rank,0.7721329282015242,1.0,segment,0.47039750242170913,Micro
88,12149503,BRAIN LABS DC LIMITED,0.2894821943077492,Mortgages.NumMortCharges,1.5600293979000748,6.0,company_age_years,0.5527067350588413,6.9,months_since_last_accounts_filing,0.44247862035539987,16.0
89,10664256,NUTREE LIFE LTD,0.2868518629348434,Mortgages.NumMortCharges,1.3260377252769275,7.0,tier_rank,0.453212109780548,3.0,company_age_years,0.3459002067254036,9.3
90,08436329,ICKLE BUBBA LIMITED,0.28592747782241734,Mortgages.NumMortCharges,1.606816940549522,10.0,tier_rank,0.49446390491257236,3.0,months_since_last_accounts_filing,0.26838209125160417,16.0
91,10771684,URBANCHAIN LTD,0.2856077720884933,Mortgages.NumMortCharges,1.273032367730412,3.0,months_since_last_accounts_filing,1.1480189816345425,26.0,sector,0.317912368885829,Fast growth & emerging
92,10061045,GIACOM (CLOUD) HOLDINGS LIMITED,0.2848150515580346,months_since_last_accounts_filing,0.8884143017576945,28.0,Mortgages.NumMortCharges,0.8571866154876108,7.0,tier_rank,0.5904892228940525,nan
93,16440463,INTELLISCAPE LIMITED,0.28452570819658923,months_since_last_award,0.914039957016642,10.0,tier_rank,0.7721696360356156,nan,company_age_years,0.7009766598477486,1.1
94,02878530,SWIFT DENTAL LABORATORY LIMITED,0.2844069624971924,Mortgages.NumMortCharges,1.431690590250281,15.0,months_since_last_award,0.6922103591733612,14.0,months_since_last_accounts_filing,0.6197355501884012,24.0
95,06714614,SAVVY IT LIMITED,0.2823182677553986,months_since_last_award,1.3231911510715115,47.0,tier_rank,0.7758971937666563,1.0,months_since_last_accounts_filing,0.6012807932704645,16.0
96,09681748,ELIXIR DISTILLERS LTD,0.28198900097118357,Mortgages.NumMortCharges,1.1451327156453392,6.0,tier_rank,0.49493003068038305,3.0,days_to_next_accounts_due,0.40209826207649896,273.0
97,12434583,STRUTHERS ENERGY & POWER LIMITED,0.28181736014332415,Mortgages.NumMortCharges,1.1722171665729206,4.0,months_since_last_accounts_filing,0.8241641159755337,25.0,tier_rank,0.5482320646144133,3.0
98,02248449,INFORMATION AND DATA NETWORKS SUPPLIES LIMITED,0.28147147799838945,Mortgages.NumMortCharges,1.1609359519978995,13.0,months_since_last_award,0.9040243537461748,4.0,tier_rank,0.6235461697611719,3.0
99,15368163,MAN PRODUCTIONS LIMITED,0.2809799744535375,months_since_last_accounts_filing,0.7823770041762858,23.0,tier_rank,0.772247382823579,1.0,Mortgages.NumMortCharges,0.6194104785917877,2.0
100,15554147,EKHLAS 31 MALDON ROAD LTD,0.2800306922792549,tier_rank,0.7810048793487739,1.0,Mortgages.NumMortCharges,0.5670443584733544,2.0,segment,0.46950574594268435,Micro
