CompanyNumber,grant_has_any,grant_n_organisations,grant_n_projects,grant_max_confidence,grant_min_confidence,grant_match_method,grant_source_date,grant_has_date
00203511,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00205229,1,2,10,0.9,0.9,name_postcode,2026-08-11,0
00206132,1,1,2,0.8,0.8,name_postcode_area,2026-08-11,0
00207732,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00209905,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00210794,1,2,38,0.9,0.9,name_postcode,2026-08-11,0
00213235,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00213629,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00214377,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00216037,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00222864,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00226185,1,2,24,0.9,0.9,name_postcode,2026-08-11,0
00226822,1,3,5,0.9,0.9,name_postcode,2026-08-11,0
00231734,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00232592,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00233721,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00233851,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00235446,1,2,38,0.9,0.9,name_postcode,2026-08-11,0
00238470,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00240080,1,1,4,0.8,0.8,name_postcode_area,2026-08-11,0
00242246,1,2,13,0.9,0.9,name_postcode,2026-08-11,0
00245345,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00245740,1,1,4,0.8,0.8,name_postcode_area,2026-08-11,0
00246071,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00247647,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00248343,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00249688,1,1,0,0.8,0.8,name_postcode_area,2026-08-11,0
00252115,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00255259,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00255858,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00257009,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00258990,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00262938,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00263162,1,1,9,0.9,0.9,name_postcode,2026-08-11,0
00267550,1,2,22,0.9,0.9,name_postcode,2026-08-11,0
00267687,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00269255,1,2,15,0.9,0.9,name_postcode,2026-08-11,0
00271998,1,2,12,0.8,0.8,name_postcode_area,2026-08-11,0
00272170,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00275978,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00278391,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00279596,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00286773,1,1,2,0.8,0.8,name_postcode_area,2026-08-11,0
00292564,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00293190,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00293529,1,1,9,0.9,0.9,name_postcode,2026-08-11,0
00296805,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00301598,1,2,7,0.9,0.9,name_postcode,2026-08-11,0
00305275,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00305907,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00305943,1,1,14,0.9,0.9,name_postcode,2026-08-11,0
00313230,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00315158,1,1,10,0.9,0.9,name_postcode,2026-08-11,0
00328397,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00330973,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00331969,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00336256,1,2,5,0.9,0.9,name_postcode,2026-08-11,0
00337357,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00337663,1,1,15,0.9,0.9,name_postcode,2026-08-11,0
00341010,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00342798,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00344017,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00346217,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00346958,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00350164,1,2,9,0.9,0.9,name_postcode,2026-08-11,0
00355922,1,1,107,0.9,0.9,name_postcode,2026-08-11,0
00357284,1,2,38,0.9,0.9,name_postcode,2026-08-11,0
00361006,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
