CompanyNumber,CompanyName,best_target,best_rank,best_score,sector,post_town,raw_hits,n_verified,fetch
11457392,CLOCKWISE GROUP LIMITED,lending,23,0.4422543597389985,"Technology, legal & professional",LONDON,9,0,cache
NI648509,DRINKSOLOGY LIMITED,lending,48,0.4022891520745528,"Technology, legal & professional",BELFAST,0,0,cache
16386302,DROPPSO LTD,voluntary_exit,32,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
03382084,DUNBIA (UK),lending,75,0.3779873927233795,Manufacturing,EXETER,0,0,cache
09281484,FOUNTAIN RIDGE LTD,insolvency,53,0.2133717081094769,"Technology, legal & professional",DUNMOW,0,0,cache
16386913,FUNKY CART LTD,voluntary_exit,64,0.9161933840127096,Fast growth & emerging,BROMSGROVE,0,0,cache
16387479,FUNZPAYMENT LTD,voluntary_exit,12,0.9161933840127096,Fast growth & emerging,"WEST MIDLANDS, ENGLAND",0,0,cache
16386444,FURYON CONSULTING LTD,voluntary_exit,43,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
02690536,FUTURE GARMENTS LIMITED,growth,5,0.4597445342191624,Manufacturing,WARLEY,0,0,cache
10902333,INFINITE CHIMP LTD,insolvency,99,0.1707041388499091,"Technology, legal & professional",LONDON,0,0,cache
10175585,INFINITY OFFICE LIMITED,insolvency,59,0.2047249988729618,"Technology, legal & professional",BOURNEMOUTH,0,0,cache
07132859,INFORM BILLING SOLUTIONS LIMITED,growth,75,0.2992171223914857,Fast growth & emerging,LONDON,0,0,cache
02248449,INFORMATION AND DATA NETWORKS SUPPLIES LIMITED,growth,98,0.2814714779983894,Fast growth & emerging,BOLTON,0,0,cache
07428128,INPHTECH LIMITED,insolvency,67,0.1994775208149638,Fast growth & emerging,WOKING,0,0,cache
16440463,INTELLISCAPE LIMITED,growth,93,0.2845257081965892,Fast growth & emerging,CHIPPENHAM,0,0,cache
11082181,INTERGLOBE ENTERPRISES (UK) LIMITED,lending,12,0.4790183239159825,"Technology, legal & professional",ADDLESTONE,0,0,cache
03583482,KW PROPERTIES (COBBYDALE) LTD,insolvency,19,0.3896984409771764,"Technology, legal & professional",SHELF,0,0,cache
04227934,L & C EUROPE LIMITED,lending,27,0.4360581524195432,"Technology, legal & professional",KINGSWINFORD,0,0,cache
02196600,L.C.P. MANAGEMENT LIMITED,lending,50,0.4020117830773694,"Technology, legal & professional",KINGSWINFORD,0,0,cache
13257177,LA FABRICATIONS (SOUTH EAST) LIMITED,lending,71,0.3806965534918659,Manufacturing,MAIDSTONE,0,0,cache
SC845423,LADA.AI LTD,voluntary_exit,2,0.9161933840127096,Fast growth & emerging,HUNTLY,0,0,cache
13813174,LAKESHORE CONSULTING LTD,insolvency,74,0.1880536548908111,"Technology, legal & professional",LONDON,0,0,cache
12686388,MORE THAN VENICE LTD,insolvency,81,0.1785726839973057,Fast growth & emerging,BIRMINGHAM,0,0,cache
11769911,MORRIS LINE ENGINEERING LIMITED,growth,48,0.3236900189431865,Manufacturing,BRIDGEND,0,0,cache
06587174,MOS MANAGEMENT SERVICES LIMITED,insolvency,96,0.1722127825685452,"Technology, legal & professional",CHRISTCHURCH,0,0,cache
16389867,MOTECH GROUP LTD,voluntary_exit,15,0.9161933840127096,Fast growth & emerging,BILLINGHAM,0,0,cache
12723324,MS LENDING GROUP LIMITED,lending,1,0.5771819740849737,Fast growth & emerging,MANCHESTER,0,0,cache
11309482,PRAESTANTIA TECHNOLOGY LIMITED,growth,3,0.4658834155773156,Fast growth & emerging,REDRUTH,0,0,cache
01421991,PRAYBOURNE LIMITED,growth,72,0.3024281641275272,Manufacturing,BROOMHALL,0,0,cache
12020842,PRICE CREATIVE LTD,insolvency,98,0.1710969897976701,"Technology, legal & professional",GUILDFORD,0,0,cache
16385835,PRIVATE AI SYSTEMS LTD,voluntary_exit,60,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
16386806,PRIVATE SECURE AI LTD,voluntary_exit,89,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
12576961,PRO HEALTH SOLUTIONS LTD,growth,51,0.320973408558588,Manufacturing,LONDON,0,0,cache
11641444,SHAFTESBURY UK DISTRIBUTION LTD,lending,86,0.3689201322430924,"Technology, legal & professional",LONDON,0,0,cache
12875094,SHAW GIBBS (AUDIT) LIMITED,lending,73,0.3790403440195921,"Technology, legal & professional",OXFORD,0,0,cache
16387839,SHENGXING CULTURE MEDIA LTD,voluntary_exit,45,0.9161933840127096,Fast growth & emerging,MILTON KEYNES,0,0,cache
16388582,SHEPHERDSTACK LTD,voluntary_exit,39,0.9161933840127096,Fast growth & emerging,KINGTON,0,0,cache
