CompanyNumber,prop_has_any,prop_count_total,prop_count_12m,prop_first_date,prop_latest_date,prop_days_since_latest,prop_value_total,prop_value_max,prop_value_count,prop_types,prop_match_method,prop_max_confidence,prop_min_confidence
00430927,1,1,0,2011-02-03,2011-02-03,5627,,,0,property_title,company_number,1.0,1.0
00431430,1,14,1,1996-09-06,2025-07-14,352,985000.0,825000.0,2,property_title,company_number,1.0,1.0
00431728,1,2,0,2012-08-16,2013-10-21,4636,,,0,property_title,company_number,1.0,1.0
00432014,1,20,0,2002-08-05,2025-03-24,464,,,0,property_title,company_number,1.0,1.0
00432122,1,1,0,1996-10-18,1996-10-18,10848,,,0,property_title,company_number,1.0,1.0
00432417,1,44,1,1988-05-13,2026-02-09,142,,,0,property_title,company_number,1.0,1.0
00432670,1,3,0,1993-12-01,2006-02-15,7441,59950.0,59950.0,1,property_title,company_number,1.0,1.0
00432807,1,2,0,1983-12-28,1983-12-28,15526,,,0,property_title,company_number,1.0,1.0
00433197,1,2,0,2016-03-04,2025-03-31,457,,,0,property_title,company_number,1.0,1.0
00433304,1,1,0,2021-03-29,2021-03-29,1920,,,0,property_title,company_number,1.0,1.0
00433806,1,3,1,1993-04-16,2025-07-09,357,275000.0,275000.0,1,property_title,company_number,1.0,1.0
00434050,1,1,0,2020-01-17,2020-01-17,2357,,,0,property_title,company_number,1.0,1.0
00434274,1,2,0,2017-02-13,2017-04-21,3358,,,0,property_title,company_number,1.0,1.0
00434345,1,1,0,2011-12-15,2011-12-15,5312,,,0,property_title,company_number,1.0,1.0
00434529,1,6,0,1995-04-20,2005-11-01,7547,,,0,property_title,company_number,1.0,1.0
00434982,1,1,0,2005-10-05,2005-10-05,7574,,,0,property_title,company_number,1.0,1.0
00435089,1,2,0,1999-04-13,2025-04-01,456,,,0,property_title,company_number,1.0,1.0
00435210,1,1,0,1995-12-18,1995-12-18,11153,,,0,property_title,company_number,1.0,1.0
00435262,1,8,0,2009-08-03,2025-02-24,492,1399995.0,1170000.0,2,property_title,company_number,1.0,1.0
00435445,1,7,5,2014-08-28,2026-03-11,112,1407600.0,1407600.0,1,property_title,company_number,1.0,1.0
00435546,1,1,0,2007-09-19,2007-09-19,6860,,,0,property_title,company_number,1.0,1.0
00435617,1,1,0,2008-11-21,2008-11-21,6431,,,0,property_title,company_number,1.0,1.0
00435820,1,4,0,1997-11-27,2024-07-29,702,,,0,property_title,company_number,1.0,1.0
00436135,1,142,1,1983-07-28,2025-09-10,294,52555.0,52555.0,1,property_title,company_number,1.0,1.0
00436185,1,1,0,2003-12-15,2003-12-15,8234,,,0,property_title,company_number,1.0,1.0
00436591,1,8,0,1989-06-06,2024-02-16,866,,,0,property_title,company_number,1.0,1.0
00436635,1,1,0,1997-11-04,1997-11-04,10466,328000.0,328000.0,1,property_title,company_number,1.0,1.0
00436709,1,3,0,1996-03-29,2020-02-07,2336,275000.0,275000.0,1,property_title,company_number,1.0,1.0
00436741,1,2,0,2008-04-30,2019-11-13,2422,,,0,property_title,company_number,1.0,1.0
00437091,1,3,0,1989-10-18,1989-10-18,13405,,,0,property_title,company_number,1.0,1.0
00437100,1,1,0,2024-05-22,2024-05-22,770,540000.0,540000.0,1,property_title,company_number,1.0,1.0
00437672,1,3,0,1985-08-19,2010-05-04,5902,,,0,property_title,company_number,1.0,1.0
00437980,1,1,0,2007-06-15,2007-06-15,6956,,,0,property_title,company_number,1.0,1.0
00437989,1,1,0,2013-04-18,2013-04-18,4822,,,0,property_title,company_number,1.0,1.0
00438005,1,15,0,1977-08-16,2017-04-18,3361,220000.0,220000.0,1,property_title,company_number,1.0,1.0
00438072,1,6,2,1988-12-30,2026-05-19,43,284999.0,210000.0,2,property_title,company_number,1.0,1.0
00438325,1,1,0,2007-06-12,2007-06-12,6959,,,0,property_title,company_number,1.0,1.0
00438794,1,1,0,1998-04-21,1998-04-21,10298,,,0,property_title,company_number,1.0,1.0
00438886,1,54,0,1983-07-11,2022-07-08,1454,,,0,property_title,company_number,1.0,1.0
00439336,1,1,0,2002-03-26,2002-03-26,8863,,,0,property_title,company_number,1.0,1.0
00439619,1,2,0,2019-08-08,2025-04-11,446,,,0,property_title,company_number,1.0,1.0
00440053,1,1,0,1986-01-03,1986-01-03,14789,,,0,property_title,company_number,1.0,1.0
00441506,1,2,0,2006-10-11,2015-12-22,3844,,,0,property_title,company_number,1.0,1.0
00441609,1,1,0,1978-07-24,1978-07-24,17509,,,0,property_title,company_number,1.0,1.0
00441702,1,1,0,2000-05-11,2000-05-11,9547,,,0,property_title,company_number,1.0,1.0
00442489,1,1,0,2012-10-29,2012-10-29,4993,,,0,property_title,company_number,1.0,1.0
00443377,1,3,0,1989-01-12,2015-08-19,3969,,,0,property_title,company_number,1.0,1.0
