CompanyNumber,targets,best_target,best_rank,best_score,CompanyName,post_town,postcode,sector,segment,lifecycle,CompanyStatus
13604484,lending,lending,94,0.3596970441213861,APG DIGITAL LIMITED,LONDON,W1U 6HP,Fast growth & emerging,Small,Trading,Active
14477466,growth,growth,31,0.35631680487676426,APG EXETER LIMITED,LONDON,W1H 1EZ,"Technology, legal & professional",Medium,Trading,Active
13604507,lending,lending,93,0.3596970441213861,APG TECHNOLOGIES LIMITED,LONDON,W1U 6HP,Fast growth & emerging,Small,Trading,Active
05357998,growth,growth,8,0.42774901827913603,APLX LTD,LEEDS,LS25 2GH,Fast growth & emerging,Medium,Trading,Active
09654369,insolvency,insolvency,1,0.47789624452193946,APOIDEA SOLUTIONS LIMITED,HEMEL HEMPSTEAD,HP2 5HL,"Technology, legal & professional",Micro,Trading,Active
01006739,insolvency,insolvency,82,0.17857035461762294,APPLIED PHOTOPHYSICS LIMITED,LEATHERHEAD,KT22 7BA,Manufacturing,Small,Trading,Active
16392947,voluntary_exit,voluntary_exit,98,0.9161933840127097,ARDOUSCORP LTD,CROYDON,CR0 4RG,Fast growth & emerging,No Filings,Trading,Active
16388001,voluntary_exit,voluntary_exit,13,0.9161933840127097,BRIDGADS LTD,"WEST MIDLANDS, ENGLAND",CV2 4AQ,Fast growth & emerging,No Filings,Trading,Active
13827341,lending,lending,55,0.39683457191754656,BRIDGEPARK CAPITAL LTD,LONDON,NW11 0DE,Fast growth & emerging,Small,Trading,Active
11635643,insolvency,insolvency,27,0.369779953095269,BRIDGLAND AND BRIDGLAND C/O LIMITED,ASHFORD,TN23 5AA,Fast growth & emerging,Micro,Trading,Active
15324653,insolvency,insolvency,87,0.17636898099917994,BUDDY MOON LTD,BRENTFORD,TW8 0RF,"Technology, legal & professional",Small,Trading,Active
11457392,lending,lending,23,0.4422543597389985,CLOCKWISE GROUP LIMITED,LONDON,N22 7DE,"Technology, legal & professional",Large,Trading,Active
NI648509,lending,lending,48,0.40228915207455285,DRINKSOLOGY LIMITED,BELFAST,BT1 1RB,"Technology, legal & professional",Medium,Trading,Active
16386302,voluntary_exit,voluntary_exit,32,0.9161933840127097,DROPPSO LTD,LONDON,W1W 7LT,Fast growth & emerging,No Filings,Trading,Active
03382084,lending,lending,75,0.37798739272337956,DUNBIA (UK),EXETER,EX2 5WS,Manufacturing,Large,Trading,Active
09281484,insolvency,insolvency,53,0.2133717081094769,FOUNTAIN RIDGE LTD,DUNMOW,CM6 1WN,"Technology, legal & professional",Small,Trading,Active
16386913,voluntary_exit,voluntary_exit,64,0.9161933840127097,FUNKY CART LTD,BROMSGROVE,B61 0DD,Fast growth & emerging,No Filings,Trading,Active
16387479,voluntary_exit,voluntary_exit,12,0.9161933840127097,FUNZPAYMENT LTD,"WEST MIDLANDS, ENGLAND",CV2 4AQ,Fast growth & emerging,No Filings,Trading,Active
16386444,voluntary_exit,voluntary_exit,43,0.9161933840127097,FURYON CONSULTING LTD,LONDON,SE1 9SG,Fast growth & emerging,No Filings,Trading,Active
02690536,growth,growth,5,0.45974453421916245,FUTURE GARMENTS LIMITED,WARLEY,B66 3DL,Manufacturing,Medium,Trading,Active
10902333,insolvency,insolvency,99,0.17070413884990918,INFINITE CHIMP LTD,LONDON,SW11 5TB,"Technology, legal & professional",Micro,Trading,Active
10175585,insolvency,insolvency,59,0.20472499887296186,INFINITY OFFICE LIMITED,BOURNEMOUTH,BH2 6BX,"Technology, legal & professional",Micro,Trading,Active
07132859,growth,growth,75,0.2992171223914857,INFORM BILLING SOLUTIONS LIMITED,LONDON,EC2R 7HF,Fast growth & emerging,Small,Trading,Active
02248449,growth,growth,98,0.28147147799838945,INFORMATION AND DATA NETWORKS SUPPLIES LIMITED,BOLTON,BL3 2NT,Fast growth & emerging,Medium,Trading,Active
07428128,insolvency,insolvency,67,0.19947752081496387,INPHTECH LIMITED,WOKING,GU21 2AX,Fast growth & emerging,Small,Trading,Active
16440463,growth,growth,93,0.28452570819658923,INTELLISCAPE LIMITED,CHIPPENHAM,SN15 1JW,Fast growth & emerging,No Filings,Trading,Active
