CompanyNumber,targets,best_target,best_rank,best_score,CompanyName,post_town,postcode,sector,segment,lifecycle,CompanyStatus
12018992,insolvency,insolvency,61,0.20243008327456896,SAMUEL E LEWIS LTD,READING,RG10 9QY,"Technology, legal & professional",Micro,Trading,Active
16388817,voluntary_exit,voluntary_exit,40,0.9161933840127097,SANIA DIGITAL SERVICES LTD,MANCHESTER,M30 7BY,Fast growth & emerging,No Filings,Trading,Active
09642494,insolvency,insolvency,51,0.21566712722013703,SASHA BALLA PHOTOGRAPHY LTD.,UPMINSTER,RM14 1AT,"Technology, legal & professional",Small,Trading,Active
06714614,growth,growth,95,0.2823182677553986,SAVVY IT LIMITED,MANCHESTER,M3 2HW,Fast growth & emerging,Micro,Trading,Active
12045967,insolvency,insolvency,39,0.27284778634790124,SB CONSULTING SOLUTIONS LIMITED,DIDCOT,OX11 7RF,"Technology, legal & professional",Micro,Trading,Active
16387660,voluntary_exit,voluntary_exit,79,0.9161933840127097,SBUSSHOP LTD,LONDON,E1 0SG,Fast growth & emerging,No Filings,Trading,Active
16390439,voluntary_exit,voluntary_exit,83,0.9161933840127097,SCALING EDGE AI LTD,LONDON,E16 4QB,Fast growth & emerging,No Filings,Trading,Active
08281645,lending,lending,91,0.3669474420404784,TETRA REAL ESTATE LIMITED,STOCKTON,CV47 8LB,"Technology, legal & professional",Small,Trading,Active
04171318,growth,growth,53,0.3188583619100538,TGC INTERNATIONAL LIMITED,ROCHESTER,ME1 3QR,Manufacturing,Medium,Trading,Active
02465785,growth,growth,71,0.30297258656097215,THE BRECKS COMPANY LIMITED,BUBWITH,YO8 6DJ,Manufacturing,Medium,Trading,Active
10828250,insolvency,insolvency,45,0.23183290373372098,ZAMEG STUDIOS LTD,BIRMINGHAM,B17 8BU,Manufacturing,Micro,Trading,Active
08294659,growth,growth,21,0.37977519046903574,ZESTY LIMITED,LONDON,WC2A 3TH,Fast growth & emerging,Subsidiary,Trading,Active
16387843,voluntary_exit,voluntary_exit,44,0.9161933840127097,ZINATITECH LTD,LONDON,NW11 7NP,Fast growth & emerging,No Filings,Trading,Active
16386849,voluntary_exit,voluntary_exit,66,0.9161933840127097,ALINAPARKERRVLT LTD,MANCHESTER,M30 7BY,Fast growth & emerging,No Filings,Trading,Active
11636665,insolvency,insolvency,10,0.43139157172194076,ALPHA EDGE LTD,TRING,HP23 5EF,Fast growth & emerging,Micro,Trading,Active
15147181,insolvency,insolvency,57,0.2062292299244617,BEDRE AND BEDRE LIMITED,UXBRIDGE,UB11 1FE,"Technology, legal & professional",Micro,Trading,Active
16385441,voluntary_exit,voluntary_exit,37,0.9161933840127097,BEKZAT TECH LTD,EAST HAM,E6 2JA,Fast growth & emerging,No Filings,Trading,Active
16384481,voluntary_exit,voluntary_exit,27,0.9161933840127097,BEYONDTHEORY TECHNOLOGIES LTD,LEEDS,LS6 2LN,Fast growth & emerging,No Filings,Trading,Active
07652159,growth,growth,25,0.36670129115362293,CUMMING MANAGEMENT GROUP UK LTD,LONDON,SE1 3LY,"Technology, legal & professional",Medium,Trading,Active
16385366,voluntary_exit,voluntary_exit,84,0.9161933840127097,CVMASTERMIND LIMITED,SHEFFIELD,S4 7WW,Fast growth & emerging,No Filings,Trading,Active
16391165,voluntary_exit,voluntary_exit,68,0.9161933840127097,DADI ANALYTICS LTD,KINGTON,HR5 3DJ,Fast growth & emerging,No Filings,Trading,Active
00941798,growth,growth,43,0.32921280141047615,DALE POWER SOLUTIONS LIMITED,SCARBOROUGH,YO11 3DU,Manufacturing,Medium,Trading,Active
12153459,insolvency,insolvency,15,0.40513437235621746,DANDOESLIGHTS LTD,HEMEL HEMPSTEAD,HP2 5HL,"Technology, legal & professional",Micro,Trading,Active
13361850,insolvency,insolvency,41,0.2486267095338011,FLEXSEA LTD,LONDON,EC2A 4NE,Manufacturing,Small,Trading,Active
07749953,growth,growth,44,0.32875261447849896,FLOTECH PERFORMANCE SYSTEMS LTD,HARROGATE,HG1 1HQ,Manufacturing,Subsidiary,Trading,Active
09735009,growth,growth,14,0.4055246086541109,FLYFORM LTD,CARDIFF,CF11 9LJ,Fast growth & emerging,Medium,Trading,Active
16391550,voluntary_exit,voluntary_exit,76,0.9161933840127097,FORRUNNER LTD,CROYDON,CR0 4GB,Fast growth & emerging,No Filings,Trading,Active
16385728,voluntary_exit,voluntary_exit,11,0.9161933840127097,HALIFAX RECRUITMENT LTD,HALIFAX,HX1 5PG,Fast growth & emerging,No Filings,Trading,Active
07510381,growth,growth,70,0.3031237234604187,KERV DIGITAL LIMITED,LONDON,EC2M 2PF,Fast growth & emerging,Subsidiary,Trading,Active
16384388,voluntary_exit,voluntary_exit,42,0.9161933840127097,KEYSSETECH LTD,LONDON,E11 1JD,Fast growth & emerging,No Filings,Trading,Active
07263317,insolvency,insolvency,95,0.172810073087695,KHAN CONSULTING LTD,MANCHESTER,M8 8LG,"Technology, legal & professional",Small,Trading,Active
08397116,insolvency,insolvency,90,0.1756556471358713,MASTER-CLOUD LTD.,MANCHESTER,M40 8WN,"Technology, legal & professional",Micro,Trading,Active
03113620,growth,growth,83,0.2904257630729886,MAYCAST-NOKES PRECISION ENGINEERING LTD,ESSEX,CO9 1EX,Manufacturing,Medium,Trading,Active
09609828,insolvency,insolvency,13,0.4183750593916329,MBA TRAINING AND CONSULTANCY LIMITED,CODDENHAM,IP6 9PS,"Technology, legal & professional",Small,Trading,Active
09668542,growth,growth,30,0.3625551768417824,OLIVE JAR DIGITAL LTD,LONDON,W1B 5AW,Fast growth & emerging,Small,Trading,Active
16390539,voluntary_exit,voluntary_exit,97,0.9161933840127097,ORBINEX VAULT LTD,LONDON,E5 0TA,Fast growth & emerging,No Filings,Trading,Active
05590174,lending,lending,98,0.3581826067056903,RED PLANET PICTURES LIMITED,LONDON,WC1X 0BJ,"Technology, legal & professional",Large,Trading,Active
16392057,voluntary_exit,voluntary_exit,94,0.9161933840127097,SK NEXUS LTD,LONDON,SE16 7TA,Fast growth & emerging,No Filings,Trading,Active
11253470,growth,growth,17,0.39742630056183526,SKEWB LTD,WARWICK,CV34 5AH,Fast growth & emerging,Medium,Trading,Active
02178783,lending,lending,13,0.4750456307395876,TOWER PENSION TRUSTEES LIMITED,SALISBURY,SP1 2BP,Fast growth & emerging,Dormant,Trading,Active
05728557,growth,growth,2,0.4900871788163192,WATTS GROUP LIMITED,LONDON,EC3N 4TH,"Technology, legal & professional",Medium,Trading,Active
12944003,growth,growth,60,0.30990497456681876,WBR GROUP LIMITED,LEICESTER,LE19 1RP,"Technology, legal & professional",Medium,Trading,Active
12783424,lending,lending,69,0.38302081305600133,WBR TRUSTEES LIMITED,LEICESTER,LE19 1RP,"Technology, legal & professional",Dormant,Trading,Active
09520069,insolvency,insolvency,43,0.23591175666332748,WEBSNIPS LTD,LONDON,NW10 5DZ,Fast growth & emerging,Micro,Trading,Active
11844897,lending,lending,96,0.3594305668577707,WEDO BUSINESS FINANCE LTD,OLDHAM,OL9 7FQ,"Technology, legal & professional",Large,Trading,Active
13963121,lending,lending,42,0.4072618491705129,WESTWOOD CAPITAL FINANCE LIMITED,BRIDLINGTON,YO16 4LZ,"Technology, legal & professional",Small,Trading,Active
11691487,lending,lending,31,0.4277911374656856,A.S.K. PARTNERS AGENT LIMITED,LONDON,W1G 9QU,Fast growth & emerging,Small,Trading,Active
10419810,lending,lending,10,0.4895216483755207,A.S.K. PARTNERS LIMITED,LONDON,W1G 9QU,Fast growth & emerging,Large,Trading,Active
14505959,growth,growth,77,0.29812469520179274,ABERGAVENNY FOOD AND WINES LTD,ABERGAVENNY,NP7 7EY,Manufacturing,Micro,Trading,Active
13500563,insolvency,insolvency,48,0.22506115757669354,BLACKCAT NETWORKS LTD,HEMEL HEMPSTEAD,HP2 5HL,Fast growth & emerging,Micro,Trading,Active
16392147,voluntary_exit,voluntary_exit,86,0.9161933840127097,BLUE FABRIC LTD,STRATFORD-UPON-AVON,CV37 7LP,Fast growth & emerging,No Filings,Trading,Active
16387765,voluntary_exit,voluntary_exit,5,0.9161933840127097,DHANU IT SOLUTIONS LTD,WOLVERHAMPTON,WV6 0SR,Fast growth & emerging,No Filings,Trading,Active
08905651,lending,lending,70,0.38195757764243216,DICE FM HOLDINGS LTD,LONDON,N1 4EN,Fast growth & emerging,Large,Trading,Active
14373641,growth,growth,65,0.3072428793896398,DICE FM UK LTD,LONDON,N1 4EN,Fast growth & emerging,Subsidiary,Trading,Active
SC845366,voluntary_exit,voluntary_exit,10,0.9161933840127097,DIGIFINITY LTD,EDINBURGH,EH2 4AN,Fast growth & emerging,No Filings,Trading,Active
11805908,growth,growth,49,0.32222901690622296,DIGITAL QUOTIENT SOLUTIONS LTD,LONDON,EC1V 2NX,Fast growth & emerging,Micro,Trading,Active
16387759,voluntary_exit,voluntary_exit,4,0.9161933840127097,FAD SRL LTD,LONDON,N3 2JU,Fast growth & emerging,No Filings,Trading,Active
13008682,insolvency,insolvency,36,0.32245149734875744,FANCY DRAGON LIMITED,SOUTHAMPTON,SO18 1EN,Manufacturing,Micro,Trading,Active
16385419,voluntary_exit,voluntary_exit,9,0.9161933840127097,HEXNOVA LTD,MILDENHALL,IP28 7DE,Fast growth & emerging,No Filings,Trading,Active
11348640,insolvency,insolvency,64,0.2003025601867217,HGGL CONSULTING LTD,DORMANSLAND,RH7 6QT,Fast growth & emerging,Micro,Trading,Active
12364000,growth,growth,81,0.2909280927828479,HICOMPLY LTD,DURHAM,DH1 1TW,Fast growth & emerging,Small,Trading,Active
06491117,insolvency,insolvency,30,0.3610691105453485,HIGHCURVE LIMITED,TRING,HP23 5EF,Fast growth & emerging,Micro,Trading,Active
00159177,lending,lending,89,0.36733731958853655,HINDUJA AUTOMOTIVE LIMITED,LONDON,SW1Y 4QU,"Technology, legal & professional",Large,Trading,Active
13614669,insolvency,insolvency,68,0.19878965103134416,HIQMA LIMITED,WATFORD,WD18 9DA,"Technology, legal & professional",Micro,Trading,Active
16437226,lending,lending,95,0.35951831654839744,HOPE STUDIOS UK LTD,LONDON,EC4V 4BE,"Technology, legal & professional",No Filings,Trading,Active
16386398,voluntary_exit,voluntary_exit,63,0.9161933840127097,LETSTALKFRIEND LIMITED,WOLVERHAMPTON,WV3 0EY,Fast growth & emerging,No Filings,Trading,Active
06054920,insolvency,insolvency,37,0.30020187447480307,LIVING BRANDS LTD,HEMEL HEMPSTEAD,HP2 5HL,"Technology, legal & professional",Micro,Trading,Active
SC627776,insolvency,insolvency,38,0.2746153567217289,LIZ WILSON COPYWRITING & COMMUNICATIONS LIMITED,HELENSBURGH,G84 8PG,"Technology, legal & professional",Micro,Trading,Active
12705598,insolvency,insolvency,3,0.45794084051138817,"MUMANIELA PROJECT, ART AND DESING LTD",LONDON,E14 8PX,"Technology, legal & professional",Micro,Trading,Active
16390567,voluntary_exit,voluntary_exit,19,0.9161933840127097,N KAUR CONSULTANCY LTD,LONDON,N1 7GU,Fast growth & emerging,No Filings,Trading,Active
05394508,insolvency,insolvency,94,0.17427563008587946,NASMYTH DOUGHTY LIMITED,COVENTRY,CV7 9FT,Manufacturing,Small,Trading,Active
07823588,growth,growth,22,0.37412304392235257,NATIONAL INSTITUTE OF AGRICULTURAL BOTANY TRUST,CAMBRIDGE,CB24 9AT,Fast growth & emerging,Small,Trading,Active
16392997,voluntary_exit,voluntary_exit,20,0.9161933840127097,PINNACLE-CONSULTANCY BUSINESS LIMITED,BRADFORD,BD2 4BJ,Fast growth & emerging,No Filings,Trading,Active
16390851,voluntary_exit,voluntary_exit,91,0.9161933840127097,PLAYALOPETECH LTD,LEEDS,LS8 5DQ,Fast growth & emerging,No Filings,Trading,Active
11966921,lending,lending,38,0.4196334961357589,PLAYGROUND TELEVISION UK 2 LIMITED,LONDON,W1W 8DH,"Technology, legal & professional",Small,Trading,Active
02006899,insolvency,insolvency,26,0.3725807637979245,PMR SYSTEMS LTD,HAMPSHIRE,RG21 7SN,Manufacturing,Micro,Trading,Active
05556499,growth,growth,86,0.2897397606136545,PORTARAMP (UK) LIMITED,CRADLEY HEATH,B64 7DW,Manufacturing,Subsidiary,Trading,Active
13637173,insolvency,insolvency,49,0.22031133194726116,RURAL MENTAL HEALTH MATTERS LIMITED,SHAFTESBURY,SP7 8GB,"Technology, legal & professional",Micro,Trading,Active
16388591,voluntary_exit,voluntary_exit,23,0.9161933840127097,RVCK LTD,LONDON,EC2A 4NE,Fast growth & emerging,No Filings,Trading,Active
06627205,insolvency,insolvency,25,0.372677043516294,S&W ACCOUNTANCY SERVICES LIMITED,FAREHAM,PO15 7EY,"Technology, legal & professional",Micro,Trading,Active
15069455,insolvency,insolvency,46,0.22884947771605726,SAAM PRIVATE HIRE LTD,NEWCASTLE UPON TYNE,NE27 0HF,Fast growth & emerging,Micro,Trading,Active
15366121,growth,growth,24,0.3715035825003587,TECHFLOW MARINE (PORTS & TERMINALS) LTD,NORTHUMBERLAND,NE23 7RY,Manufacturing,Micro,Trading,Active
09085579,growth,growth,16,0.3995481803141968,TELCOM NETWORKS LIMITED,MANCHESTER,M4 1LN,"Technology, legal & professional",Subsidiary,Trading,Active
09932771,insolvency,insolvency,17,0.40037225899931644,TEN 0 EIGHT LTD,OAKMERE,CW8 2DF,"Technology, legal & professional",Micro,Trading,Active
09042505,insolvency,insolvency,73,0.1887967665426409,UKTTF LIMITED,LANCASHIRE,OL10 1NW,Manufacturing,Small,Trading,Active
11494446,insolvency,insolvency,31,0.35299681417119894,UNIX ACCOUNTING LTD,BURNHAM-ON-CROUCH,CM0 8LT,"Technology, legal & professional",Micro,Trading,Active
16384791,voluntary_exit,voluntary_exit,28,0.9161933840127097,UPTIMEASE LTD,MANCHESTER,M2 3HZ,Fast growth & emerging,No Filings,Trading,Active
10771684,growth,growth,91,0.2856077720884933,URBANCHAIN LTD,LONDON,EC4M 7AU,Fast growth & emerging,Small,Trading,Active
SC156515,lending,lending,52,0.4010961205269384,2 AGRICULTURE LIMITED,NEWBRIDGE,EH28 8NB,Manufacturing,Large,Trading,Active
16389397,voluntary_exit,voluntary_exit,90,0.9161933840127097,2E CONSULTING LTD,LONDON,E6 2JA,Fast growth & emerging,No Filings,Trading,Active
13947887,growth,growth,62,0.30792460433914615,3ML PROPERTIES LIMITED,LONDON,N13 4XS,"Technology, legal & professional",Micro,Trading,Active
04125587,insolvency,insolvency,22,0.382405736911241,88 MARINE PARADE BRIGHTON LIMITED,EAST SUSSEX,BN2 1AJ,"Technology, legal & professional",Micro,Trading,Active
07463998,growth,growth,28,0.36539424126024567,BALLYCLARE LIMITED,STOCKPORT,SK3 0UX,Manufacturing,Medium,Trading,Active
SC592655,lending,lending,66,0.3841026743066001,BANGLEY QUARRY BIOGAS LTD,EDINBURGH,EH2 4LH,Fast growth & emerging,Small,Trading,Active
01692513,lending,lending,59,0.3923846713997695,BANIJAY UK PRODUCTIONS LIMITED,LONDON,W14 0EE,"Technology, legal & professional",Subsidiary,Trading,Active
08557939,insolvency,insolvency,70,0.19765530655074334,BANKS & SIMPSON CONSULTANCY LIMITED,COVENTRY,CV4 7AT,"Technology, legal & professional",Micro,Trading,Active
06437348,growth,growth,18,0.3924222603499544,BARNFATHER WIRE (MIDLANDS) LIMITED,WEDNESBURY,WS10 8JG,Manufacturing,Medium,Trading,Active
06893253,growth,growth,40,0.33415098631124796,BCN GROUP LTD.,MANCHESTER,M22 5LW,Fast growth & emerging,Medium,Trading,Active
12227373,insolvency,insolvency,23,0.3817126917159904,BE-ROLL LTD,LONDON,SE17 1HY,"Technology, legal & professional",Micro,Trading,Active
16389998,voluntary_exit,voluntary_exit,18,0.9161933840127097,CLOWNS ENTERTAINMENTS LTD,LONDON,E11 4QS,Fast growth & emerging,No Filings,Trading,Active
09732010,growth,growth,15,0.40463423708484597,CMAP SOFTWARE LIMITED,MACCLESFIELD,SK10 4TG,Fast growth & emerging,Medium,Trading,Active
11731838,lending,lending,2,0.5758907407781219,COHORT CAPITAL LTD,LONDON,W1K 7TG,Fast growth & emerging,Large,Trading,Active
16387792,voluntary_exit,voluntary_exit,87,0.9161933840127097,COINAREA IO LTD,LONDON,E14 5AB,Fast growth & emerging,No Filings,Trading,Active
08575062,growth,growth,11,0.4131070588527829,COMMONPLACE DIGITAL LTD,LONDON,EC4M 7AU,Fast growth & emerging,Small,Trading,Active
16385080,voluntary_exit,voluntary_exit,71,0.9161933840127097,DIGITALS SOLUTIONS LTD,LONDON,WC2H 9JQ,Fast growth & emerging,No Filings,Trading,Active
16385443,voluntary_exit,voluntary_exit,46,0.9161933840127097,DONBRI CONSULTING LTD,LONDON,EC1V 2NX,Fast growth & emerging,No Filings,Trading,Active
14967796,insolvency,insolvency,69,0.19866701144915702,GHETTO LABEL U.S. LEGACY RECORDS LIMITED,BILSTON,WV14 9RT,"Technology, legal & professional",Micro,Trading,Active
10061045,growth,growth,92,0.2848150515580346,GIACOM (CLOUD) HOLDINGS LIMITED,LONDON,EC2R 7HF,Fast growth & emerging,Subsidiary,Trading,Active
07927175,lending,lending,17,0.46234219152474837,GLAS TRUST CORPORATION LIMITED,LONDON,EC4M 7NG,Fast growth & emerging,Small,Trading,Active
16385301,voluntary_exit,voluntary_exit,17,0.9161933840127097,GLOBAL POSTGRADUATE EDUCATION ALLIANCE,LONDON,EC1V 2NX,Fast growth & emerging,No Filings,Trading,Active
SC582522,lending,lending,18,0.46222341124726235,GOFIBRE HOLDINGS LIMITED,EDINBURGH,EH3 8EG,"Technology, legal & professional",Large,Trading,Active
08531702,insolvency,insolvency,89,0.17619729255806912,ISLE OF WIGHT JOBS LIMITED,COWES,PO31 8BX,"Technology, legal & professional",Small,Trading,Active
16389142,voluntary_exit,voluntary_exit,34,0.9161933840127097,ITERATIVE IMPACT LTD,WOODSTOCK,OX20 1QP,Fast growth & emerging,No Filings,Trading,Active
16385759,voluntary_exit,voluntary_exit,54,0.9161933840127097,ITL ENSTITUTE LTD,LIVERPOOL,L3 1BP,Fast growth & emerging,No Filings,Trading,Active
16389526,voluntary_exit,voluntary_exit,52,0.9161933840127097,ITL IINSTITUTI LTD,WOLVERHAMPTON,WV6 0SR,Fast growth & emerging,No Filings,Trading,Active
SC845213,voluntary_exit,voluntary_exit,77,0.9161933840127097,IVELOP X LTD,EDINBURGH,EH6 5JW,Fast growth & emerging,No Filings,Trading,Active
06014654,lending,lending,92,0.3627483571471784,LANGDOWNS DFK LIMITED,EASTLEIGH,SO50 9PD,"Technology, legal & professional",Small,Trading,Active
06695717,growth,growth,27,0.365772779765214,LATCHAM DIRECT LIMITED,HENGROVE,BS14 0AF,Manufacturing,Medium,Trading,Active
01459141,growth,growth,58,0.31014397690106477,LEEC LIMITED,NOTTINGHAM,NG4 2AJ,Manufacturing,Medium,Trading,Active
12688816,insolvency,insolvency,11,0.428149202417529,LEGAL WILLS ONLINE LTD,LONDON,WC2H 9JQ,"Technology, legal & professional",Micro,Trading,Active
14693500,insolvency,insolvency,62,0.20191583705450733,LEGALBNM LTD,LONDON,EC1R 0NE,"Technology, legal & professional",Micro,Trading,Active
09908188,lending,lending,57,0.3950748648520641,NICOLAS JAMES LIMITED,SOUTHAMPTON,SO14 2AQ,"Technology, legal & professional",Large,Trading,Active
16392346,voluntary_exit,voluntary_exit,81,0.9161933840127097,NODEFLOW AI LIMITED,LONDON,E15 3DS,Fast growth & emerging,No Filings,Trading,Active
05879466,lending,lending,7,0.5083735495399625,NOMAD FOODS EUROPE LIMITED,WOKING,GU21 6HT,Manufacturing,Large,Trading,Active
04992068,lending,lending,61,0.3901544701630842,NORTH EAST PROPERTY PARTNERSHIP LIMITED,GATESHEAD,NE11 0QD,"Technology, legal & professional",Subsidiary,Trading,Active
16391919,voluntary_exit,voluntary_exit,92,0.9161933840127097,PARTNERS AND COMPANY GROUP LTD,LONDON,EC2A 4NE,Fast growth & emerging,No Filings,Trading,Active
16388374,voluntary_exit,voluntary_exit,72,0.9161933840127097,PCKEY GLOBAL SOLUTIONS LTD,"RUISLIP,",HA4 7AE,Fast growth & emerging,No Filings,Trading,Active
04368718,insolvency,insolvency,32,0.339132651143032,PEAK BIOMEDICAL LTD,CHESHIRE,CW11 1YT,"Technology, legal & professional",Micro,Trading,Active
09833975,growth,growth,7,0.4430564770569164,PEARLTECH UK LIMITED,BOURNEMOUTH,BH1 1JN,Fast growth & emerging,Subsidiary,Trading,Active
16386465,voluntary_exit,voluntary_exit,29,0.9161933840127097,RIZMOS LTD,SOUTHAMPTON,SO14 0BH,Fast growth & emerging,No Filings,Trading,Active
09717071,insolvency,insolvency,21,0.38465721238801726,RJD IT SERVICES LIMITED,STAINES-UPON-THAMES,TW18 4LX,Fast growth & emerging,Micro,Trading,Active
08088342,lending,lending,67,0.3836642811961211,SMARTROOF LIMITED,SWADLINCOTE,DE11 9EU,Manufacturing,Medium,Trading,Active
08672236,insolvency,insolvency,8,0.43555206019008375,SOLENT MARINE SURVEYS LTD,SOUTHAMPTON,SO31 9FD,"Technology, legal & professional",Micro,Trading,Active
08033357,growth,growth,35,0.3514567802891367,SOLUTIONPATH LIMITED,BOURNEMOUTH,BH8 8EZ,Fast growth & emerging,Subsidiary,Trading,Active
06467245,growth,growth,9,0.41886594949421535,THE MARKETING LOUNGE PARTNERSHIP LIMITED,LOWER STRETTON,WA4 4PG,Fast growth & emerging,Medium,Trading,Active
07667393,growth,growth,59,0.30991213728201916,THE NETWORKING PEOPLE (TNP) LIMITED,LANCASTER,LA1 3PE,"Technology, legal & professional",Medium,Trading,Active
03310580,insolvency,insolvency,78,0.1803516792057601,THE PROACTIVE ACCOUNTANT LTD,LONDON,EC3N 1AD,"Technology, legal & professional",Micro,Trading,Active
00575914,lending,lending,97,0.35887715421301086,XEROX LIMITED,UXBRIDGE,UB8 1DH,Manufacturing,Large,Trading,Active
03668232,insolvency,insolvency,33,0.3376828309280907,XPRESSNET (UK) LTD,KETTERING,NN14 6JG,Fast growth & emerging,Micro,Trading,Active
12795105,growth,growth,66,0.30700252460421434,AMBER LABS LIMITED,LONDON,N3 1LF,Fast growth & emerging,Small,Trading,Active
12588738,lending,lending,58,0.3943726520478575,AMBER ORANGE LIMITED,MORDEN,SM4 4LU,"Technology, legal & professional",Micro,Trading,Active
16387646,voluntary_exit,voluntary_exit,51,0.9161933840127097,AMJEO LTD,LONDON,EC2A 4NE,Fast growth & emerging,No Filings,Trading,Active
08828281,growth,growth,38,0.33843438850516516,AMTECH BUSINESS SOLUTIONS LIMITED,THATCHAM,RG19 4QD,Fast growth & emerging,Micro,Trading,Active
05842285,insolvency,insolvency,65,0.20028907345538408,ANDREW CAMPBELL LIMITED,HERTS,AL10 8AJ,"Technology, legal & professional",Dormant,Trading,Active
09088709,lending,lending,34,0.42440345695663556,ANSTEE COIL TECHNOLOGY LIMITED,STONEHOUSE,GL10 3RF,Manufacturing,Small,Trading,Active
09249746,lending,lending,21,0.45596347920415814,BOATCO UK LTD,ROCHFORD,SS4 2HF,Manufacturing,Subsidiary,Trading,Active
09229677,lending,lending,78,0.37619438280641115,BP3 GLOBAL LIMITED,BRISTOL,BS2 0EL,Fast growth & emerging,Large,Trading,Active
12149503,growth,growth,88,0.2894821943077492,BRAIN LABS DC LIMITED,LONDON,EC1Y 8AF,Fast growth & emerging,Small,Trading,Active
12148954,growth,growth,19,0.3906662182084268,BRAIN LABS UK HOLDCO LIMITED,LONDON,EC1Y 8AF,Fast growth & emerging,Small,Trading,Active
03322295,insolvency,insolvency,35,0.3368046152031644,BRANTWOOD HOLDINGS LIMITED,POOLE,BH12 1NX,Fast growth & emerging,Micro,Trading,Active
02457114,lending,lending,80,0.37494527680897594,COURTNEY INVESTMENTS LIMITED,LONDON,E1W 9US,"Technology, legal & professional",Small,Trading,Active
SC184280,insolvency,insolvency,77,0.18432440226448632,COWIE SEAFOODS LIMITED,PETERHEAD,AB42 1TZ,Manufacturing,Small,Trading,Active
16385444,voluntary_exit,voluntary_exit,73,0.9161933840127097,CREATIVE WEB EXPERT LIMITED,CHELTENHAM,GL51 8NS,Fast growth & emerging,No Filings,Trading,Active
09659104,lending,lending,90,0.3672157112926452,CRUMPSALL ESTATES LIMITED,MANCHESTER,M7 4SE,"Technology, legal & professional",Micro,Trading,Active
16386159,voluntary_exit,voluntary_exit,78,0.9161933840127097,CRYPSISCYBERTECH LTD,NEWPORT,NP20 4GG,Fast growth & emerging,No Filings,Trading,Active
16393118,voluntary_exit,voluntary_exit,31,0.9161933840127097,CRYPTORIA SYSTEMS LTD,LONDON,W2 3AF,Fast growth & emerging,No Filings,Trading,Active
13303937,growth,growth,74,0.300651790697187,CT 13303937 LIMITED,LONDON,WC1N 3AX,Fast growth & emerging,Small,Trading,Active
15870805,growth,growth,80,0.2921890726770927,FDOE PRODUCTIONS LTD,LONDON,W1F 8DZ,"Technology, legal & professional",Subsidiary,Trading,Active
16500748,lending,lending,36,0.4227537773094128,FENYX F2 LIMITED,LONDON,NW9 6BX,Fast growth & emerging,No Filings,Trading,Active
10205768,insolvency,insolvency,56,0.20673276586593436,FERN FINANCIAL PLANNING LIMITED,LUDLOW,SY8 4AA,"Technology, legal & professional",Small,Trading,Active
16391407,voluntary_exit,voluntary_exit,24,0.9161933840127097,FIGONDTECH LTD,HARROGATE,HG2 9BA,Fast growth & emerging,No Filings,Trading,Active
04818735,lending,lending,9,0.49713710283691104,FILM & TV HOUSE LIMITED,WINCHESTER,SO23 7TA,"Technology, legal & professional",Small,Trading,Active
06702659,growth,growth,54,0.31769074978887524,FIRESEC COMPLIANCE LIMITED,WITHAM,CM8 3YN,"Technology, legal & professional",Small,Trading,Active
11147688,insolvency,insolvency,20,0.3878845872123988,FIRST BUSINESS DEVELOPMENT LTD,BARNET,EN5 5TZ,"Technology, legal & professional",Micro,Trading,Active
02174882,growth,growth,39,0.33799552636812,HARDALL INTERNATIONAL LIMITED,DUNSTABLE,LU5 4PN,Manufacturing,Medium,Trading,Active
12620180,insolvency,insolvency,80,0.17870716192824548,HARDOWN LTD,BRIDPORT,DT6 6DU,Fast growth & emerging,Small,Trading,Active
08246871,lending,lending,56,0.3965698926938066,HARTSHORNE CROSSROADS GROUP CONTRACTS LIMITED,BATLEY,WF17 9LR,Manufacturing,Large,Trading,Active
14997606,lending,lending,16,0.4628693739950371,HDM ENERGIES LTD,HULL,HU4 7DZ,"Technology, legal & professional",Subsidiary,Trading,Active
04420590,insolvency,insolvency,71,0.19751454237826435,HEALTH AND SAFETY SERVICES (UK) LIMITED,TOWCESTER,NN12 6UN,"Technology, legal & professional",Micro,Trading,Active
13661961,lending,lending,44,0.4060324896891581,HEALTHCARE SERVICES CONSULTANCY LTD,DUDLEY,DY1 4RH,"Technology, legal & professional",Small,Trading,Active
12630918,insolvency,insolvency,91,0.17550864324253954,HEGETOR LTD,LONDON,E17 5DX,Fast growth & emerging,Micro,Trading,Active
02147149,lending,lending,39,0.4172560534997965,HEL LIMITED,HEMEL HEMPSTEAD,HP2 7SU,Fast growth & emerging,Large,Trading,Active
SC845412,voluntary_exit,voluntary_exit,58,0.9161933840127097,JGCK LIMITED,EDINBURGH,EH9 1SE,Fast growth & emerging,No Filings,Trading,Active
16385990,voluntary_exit,voluntary_exit,3,0.9161933840127097,JOBS UK HELPING YOU ACHIEVE YOUR GOALS LTD,BIRMINGHAM,B23 7LX,Fast growth & emerging,No Filings,Trading,Active
16390646,voluntary_exit,voluntary_exit,59,0.9161933840127097,JOBS UK MAKE IT EASY LTD,BIRMINGHAM,B23 7LX,Fast growth & emerging,No Filings,Trading,Active
16390615,voluntary_exit,voluntary_exit,55,0.9161933840127097,JPA IT SOLUTIONS LIMITED,LONDON,NW3 3NX,Fast growth & emerging,No Filings,Trading,Active
